ROI,delta,z,pperm,direction
L_RSC,-0.506652298179819,-7.09279355392449,1.31428201655126e-12,3
L_31pv,-0.56485639991357,-9.51092816548014,0,1
L_7AL,-0.280428772246516,-3.78701907357609,0.000152465400662161,2
L_7PL,-0.61884476328307,-8.63403878427214,0,3
L_9p,-0.369829030568048,-5.00083991597078,5.70810941846744e-07,3
L_10d,-0.563715161606573,-8.4058533648175,0,1
L_IFSa,-0.578504069342214,-13.0304582278988,0,1
L_PoI2,-0.261762447933687,-3.5176141035036,0.000435445096542031,2
L_TE2a,-0.352387139944912,-4.82274494645247,1.41595981939524e-06,2
L_TF,-0.388384867960349,-5.48979868274845,4.0239211740456e-08,2
L_IP1,-0.694385397052645,-9.92267922587458,0,2
L_PGi,-0.938002832199935,-15.1302994511208,0,1
L_V6A,-1.04395071142165,-16.7538119659702,0,2
L_s32,-0.617271207547705,-8.52833561740681,0,2
L_Ig,-0.539522416395637,-12.0789414570642,0,1
L_p10p,0.525002723269168,9.97990912213151,0,4
R_RSC,-0.468315930346555,-6.38233008001802,1.74413594677958e-10,2
R_FFC,-0.552824678524559,-8.00834571542834,1.11022302462516e-15,2
R_SFL,-0.225036218704869,-3.01958195725312,0.00253123797890598,2
R_PCV,-0.425510288770275,-7.07441058712004,1.50079948468829e-12,1
R_7Pm,-0.693759304502991,-13.0669742340848,0,3
R_v23ab,-1.02107058194965,-15.1048565115639,0,3
R_24dv,1.00316625428591,17.328807272045,0,4
R_7Am,-0.801579755476365,-11.3454456817911,0,2
R_7PL,-0.712686803296971,-10.2321138293214,0,2
R_p32,-0.543302314000716,-7.52127334596737,5.41788836017076e-14,2
R_10r,-0.935495349693697,-13.5562989413655,0,2
R_47m,-0.549276907196174,-8.42103526584901,0,1
R_OFC,-0.617623441900998,-8.66647547997366,0,2
R_6a,0.624977306090267,16.1246854958616,0,4
R_PFcm,-0.846188979318716,-13.6777164316457,0,3
R_FOP4,-0.706707843021522,-9.87687680060509,0,2
R_A5,-0.620896292722906,-9.14716876103452,0,2
R_STSda,-0.838882837179627,-11.955880803374,0,2
R_TE1a,-0.667342815497217,-9.27185282797695,0,2
R_TE2a,-0.552066312901034,-7.72094646882038,1.15463194561016e-14,2
R_TPOJ1,-0.7595563405487,-11.0442060478972,0,1
R_V6A,-1.09843891836936,-18.4973849991012,0,3
R_VMV1,-0.969685345699569,-15.7438808987261,0,2
R_pOFC,-0.185881016479669,-2.64819386208567,0.00809231051341786,2
R_FOP5,-0.483330221025713,-6.58878591879433,4.43438619157632e-11,2
R_LBelt,-0.312315660613228,-4.35475254144217,1.33217321143242e-05,2
R_TE1m,-0.403544192610519,-5.50022561796888,3.793055802781e-08,2
