,t1-t2-LSUB,t1-t2-LCA,t1-t2-LDG
100206,1.9265547,1.9371022,1.6935081
100307,1.8229799,1.8714036,1.5281665
100408,2.0815678,1.9501896,1.5084771
100610,2.463624,2.2129772,1.6556821
101006,2.2153857,1.9635912,1.6438471
101107,2.003346,1.8396125,1.4743786
101309,2.2146497,1.9834349,1.6136237
101915,1.9392571,2.0141883,1.6929352
102008,2.0791075,2.0940523,1.6790059
102311,1.9784206,1.9317745,1.5834391
102513,2.0670426,1.989239,1.6446881
102816,1.9779423,1.8919523,1.6906495
103414,1.8988788,1.9940729,1.6135743
103515,2.3134737,2.0856261,1.8350613
103818,1.9086232,1.885025,1.5898633
104012,1.8900344,1.9853612,1.6022458
104416,1.8912375,1.9990089,1.5743757
104820,2.1983666,2.004995,1.640733
105014,1.9525974,2.0289435,1.7215445
105115,1.8340876,1.9417921,1.5626199
105216,1.9805145,1.9523083,1.6215006
105923,1.919815,1.9180404,1.5404279
106016,1.8422325,1.8712022,1.570086
106319,2.0019212,2.0377417,1.609489
106521,2.172987,1.944525,1.6483837
107018,1.891042,2.1980991,1.6855421
107321,2.010878,1.9001832,1.5596867
107725,2.2923923,2.1519213,1.6906471
108222,2.053434,1.9793925,1.6619294
108323,1.8816917,1.8416456,1.5593369
108525,1.9812891,1.8980415,1.5759481
108828,2.173257,2.0422173,1.7571472
109123,2.1830516,2.0497386,2.186353
109830,1.9323466,2.0449867,1.5430021
110007,2.2149034,2.1288323,1.7701125
110411,1.955051,1.9573752,1.5669944
111009,1.9315717,2.0044882,1.7226446
111413,1.9529725,1.9735782,1.6430339
112314,2.0687118,2.1333747,1.6981213
112516,1.9968649,1.9118922,1.5995458
112920,2.1052268,2.2590632,1.8653407
113215,1.9461963,2.0648375,1.6387901
113619,1.9289143,1.9534413,1.6411424
113922,2.461255,2.381917,1.846781
114217,1.9240394,1.8392538,1.5661074
114318,1.9162905,1.9145104,1.6378173
114419,2.1395688,2.231791,1.7893996
114621,2.0337749,2.2351484,1.89446
114823,1.9965699,1.9386863,1.5351186
115017,2.0364375,2.0644608,1.7121347
115219,2.3838139,2.335502,1.6527998
115320,2.0658946,1.9825517,1.6557927
115825,1.8784975,1.7496903,1.5008368
116524,1.9908109,1.9437263,1.7125455
116726,1.7653389,1.8733814,1.3781232
117122,2.0360823,2.159141,1.6306391
117324,2.0039477,1.8580656,1.6075178
117930,1.9801507,2.2503755,1.6247067
118023,1.907862,1.9218767,1.6957586
118124,2.019009,1.8811134,1.5423943
118225,2.2255096,2.5289893,1.767887
118528,1.8182001,1.8139648,1.5073887
118730,2.0482297,2.0045962,1.6366124
118932,2.052517,2.156425,1.7839342
119126,2.1706915,2.389997,1.9190688
119732,1.9555582,1.9723346,1.708545
119833,2.1032045,2.187553,1.7263944
120111,1.9959671,1.9724796,1.547069
120212,2.0031474,1.8831339,1.6286756
120515,2.0785966,1.9210215,1.6035534
121416,1.8714856,1.8348045,1.5510607
121921,2.0748985,1.9319152,1.5632024
122317,1.9737464,2.1634502,1.7908206
122822,2.007986,2.0487852,1.7556841
123420,2.023932,2.1174054,1.7200123
123521,2.1025276,1.9865699,1.6659454
123824,2.194963,1.9317484,1.6120098
123925,2.0857477,2.0836115,1.7552409
124624,2.0407968,2.126053,1.7498846
124826,1.9275279,2.0161335,1.6423498
125525,2.0532908,2.00727,1.7008557
126325,2.200716,2.357349,1.8362628
126628,2.124784,1.8732855,1.5854129
127327,2.131742,2.0338793,1.6335008
127630,2.1078663,1.9509861,1.6743723
127933,2.090427,1.9504175,1.5633612
128026,2.0945873,2.0245252,1.7185407
128127,1.8979056,1.9943192,1.5875529
128632,1.9851042,1.9823215,1.7278364
129028,2.0182354,2.0563798,1.6727804
129129,2.1609817,1.9609687,1.67208
129331,2.0028732,2.002174,1.6606071
129634,1.7060745,1.8157853,1.5561746
130013,1.9276559,2.000245,1.6764503
130316,2.1252997,2.0577908,1.6272192
130417,2.30834,2.1415863,1.7765642
130821,1.9114995,1.7844703,1.6296915
130922,1.839772,1.8803238,1.5949486
131419,1.8120334,1.8213522,1.5410614
131722,2.0270233,1.9283085,1.6397183
131823,1.9553416,1.9944227,1.6592844
132017,1.9156404,2.0060012,1.6270602
132118,1.9303483,1.9856515,1.6441855
133625,2.0783584,2.039516,1.655515
133827,2.204531,2.0595803,1.7461021
133928,1.9543829,1.8584852,1.5608205
134021,1.9627596,1.9019789,1.6171671
134223,2.0457988,2.0145338,1.672134
134324,1.9814435,1.9000931,1.5988798
134425,1.8100579,1.7558787,1.519872
135528,1.8613973,1.8542154,1.5366075
135730,1.9994068,1.9335154,1.5919232
135932,2.0281072,1.9744046,1.6144766
136227,2.0955057,1.9496279,1.6749218
136732,2.1670547,2.0727153,1.7792897
136833,2.3609703,2.163323,1.774426
137027,2.1761582,1.9839039,1.6671638
137128,1.9999385,2.00004,1.6722498
137229,2.268837,2.2290556,1.7554066
137633,1.8545703,1.9635543,1.5986841
138231,1.9241265,2.0524154,1.5982833
138534,1.9302118,1.8700633,1.4954334
138837,1.8646376,1.8713931,1.5520818
139233,2.119155,2.0786052,1.7081299
139839,1.9733942,1.9605906,1.5730085
140319,1.9341946,1.9773725,1.6627942
140824,2.0482903,2.1371074,1.7625632
