node,name,H2r,rp
45,./node_45_INORM,0.1196260,0.0777229
310,./node_310_INORM,0.2696831,0.0003893
137,./node_137_INORM,0.2072855,0.0052098
213,./node_213_INORM,0.3419876,0.0000020
281,./node_281_INORM,0.4150039,0.0000004
158,./node_158_INORM,0.3609969,0.0000038
64,./node_64_INORM,0.3140901,0.0000266
99,./node_99_INORM,0.2778006,0.0004719
331,./node_331_INORM,0.3179070,0.0000042
184,./node_184_INORM,0.3151286,0.0000540
179,./node_179_INORM,0.2534354,0.0001917
116,./node_116_INORM,0.3453126,0.0000214
232,./node_232_INORM,0.4009359,0.0000003
251,./node_251_INORM,0.2530219,0.0001311
188,./node_188_INORM,0.3664776,0.0000017
175,./node_175_INORM,0.3115991,0.0000189
68,./node_68_INORM,0.3496978,0.0000007
95,./node_95_INORM,0.2771971,0.0003037
352,./node_352_INORM,0.3811713,0.0000013
270,./node_270_INORM,0.1003306,0.0668513
154,./node_154_INORM,0.3011395,0.0000565
26,./node_26_INORM,0.3934009,0.0000001
49,./node_49_INORM,0.4241787,0.0000002
327,./node_327_INORM,0.3726595,0.0000050
72,./node_72_INORM,0.2905761,0.0001437
348,./node_348_INORM,0.4206008,0.0000009
192,./node_192_INORM,0.3039170,0.0000556
224,./node_224_INORM,0.1740057,0.0169485
100,./node_100_INORM,0.3297378,0.0000277
306,./node_306_INORM,0.3303824,0.0000078
53,./node_53_INORM,0.3392916,0.0000068
205,./node_205_INORM,0.3765492,0.0000026
121,./node_121_INORM,0.2923528,0.0001692
297,./node_297_INORM,0.3143125,0.0000806
209,./node_209_INORM,0.1582899,0.0234338
142,./node_142_INORM,0.3044265,0.0001747
266,./node_266_INORM,0.1954021,0.0068541
30,./node_30_INORM,0.3376148,0.0000009
163,./node_163_INORM,0.3306754,0.0000142
247,./node_247_INORM,0.1886487,0.0046875
228,./node_228_INORM,0.3469445,0.0000058
83,./node_83_INORM,0.2259983,0.0017570
11,./node_11_INORM,0.3408349,0.0000102
344,./node_344_INORM,0.4367669,2.976782e-09
212,./node_212_INORM,0.3416254,0.0000008
