node,name,H2r,rp
89,./node_89_INORM,0.2536832,0.0004071
74,./node_74_INORM,0.2340356,0.0013383
139,./node_139_INORM,0.3691240,0.0000018
156,./node_156_INORM,0.3780558,0.0000004
272,./node_272_INORM,0.1374344,0.0455038
177,./node_177_INORM,0.2430372,0.0002634
253,./node_253_INORM,0.2509939,0.0009583
55,./node_55_INORM,0.3978557,0.0000004
118,./node_118_INORM,0.3752579,0.0000020
350,./node_350_INORM,0.2359004,0.0012489
333,./node_333_INORM,0.3465115,0.0000128
186,./node_186_INORM,0.3245504,0.0000210
36,./node_36_INORM,0.3944517,0.0000002
230,./node_230_INORM,0.2297582,0.0029382
59,./node_59_INORM,0.3192295,0.0000311
114,./node_114_INORM,0.2341032,0.0015555
312,./node_312_INORM,0.3438130,0.0000021
85,./node_85_INORM,0.1999059,0.0056940
211,./node_211_INORM,0.2691098,0.0001745
78,./node_78_INORM,0.2349742,0.0027457
135,./node_135_INORM,0.3172080,0.0000147
283,./node_283_INORM,0.2844304,0.0002064
17,./node_17_INORM,0.3543098,0.0000027
245,./node_245_INORM,0.3259039,0.0000110
161,./node_161_INORM,0.3101981,0.0000063
43,./node_43_INORM,0.3881432,0.0000023
9,./node_9_INORM,0.4290545,1.7605463e-08
329,./node_329_INORM,0.3282985,0.0000220
346,./node_346_INORM,0.1429538,0.0321118
62,./node_62_INORM,0.2809251,0.0000573
264,./node_264_INORM,0.2014177,0.0072341
299,./node_299_INORM,0.2958108,0.0000899
140,./node_140_INORM,0.3394092,0.0000167
308,./node_308_INORM,0.3555177,0.0000033
304,./node_304_INORM,0.3822594,0.0000019
123,./node_123_INORM,0.3931413,0.0000004
207,./node_207_INORM,0.2449668,0.0015620
93,./node_93_INORM,0.0634892,0.1849872
268,./node_268_INORM,0.3219086,0.0000055
295,./node_295_INORM,0.3744385,0.0000003
5,./node_5_INORM,0.3009232,0.0000553
325,./node_325_INORM,0.2560123,0.0009800
249,./node_249_INORM,0.2557576,0.0005361
20,./node_20_INORM,0.3553350,0.0000021
190,./node_190_INORM,0.2687954,0.0005445
102,./node_102_INORM,0.3316598,0.0000414
226,./node_226_INORM,0.2491662,0.0012883
138,./node_138_INORM,0.3303134,0.0000166
75,./node_75_INORM,0.3126387,0.0000288
88,./node_88_INORM,0.2633731,0.0002026
273,./node_273_INORM,0.0927421,0.1091940
157,./node_157_INORM,0.3685531,0.0000006
351,./node_351_INORM,0.3446992,0.0000103
252,./node_252_INORM,0.2504573,0.0004081
176,./node_176_INORM,0.3698472,0.0000010
119,./node_119_INORM,0.2391836,0.0006833
54,./node_54_INORM,0.4320603,2.0030393e-08
37,./node_37_INORM,0.3591172,0.0000075
187,./node_187_INORM,0.3457709,0.0000044
115,./node_115_INORM,0.3976140,0.0000003
58,./node_58_INORM,0.2645859,0.0002562
231,./node_231_INORM,0.4683945,1.311814e-09
332,./node_332_INORM,0.2920504,0.0001137
134,./node_134_INORM,0.3005935,0.0000179
79,./node_79_INORM,0.3434059,0.0000164
84,./node_84_INORM,0.1417229,0.0437455
210,./node_210_INORM,0.3672082,0.0000003
282,./node_282_INORM,0.3919075,0.0000022
16,./node_16_INORM,0.3418252,0.0000040
313,./node_313_INORM,0.2753273,0.0003319
328,./node_328_INORM,0.2663021,0.0009538
8,./node_8_INORM,0.4208007,4.8533812e-08
347,./node_347_INORM,0.2582212,0.0007887
160,./node_160_INORM,0.2349046,0.0024105
244,./node_244_INORM,0.2215522,0.0017973
42,./node_42_INORM,0.3221094,0.0000770
309,./node_309_INORM,0.3939522,0.0000006
63,./node_63_INORM,0.2556222,0.0003150
141,./node_141_INORM,0.3006175,0.0001207
298,./node_298_INORM,0.3652298,0.0000023
265,./node_265_INORM,0.2159261,0.0056540
206,./node_206_INORM,0.2798265,0.0001310
92,./node_92_INORM,0.2295617,0.0011497
122,./node_122_INORM,0.3675137,0.0000004
294,./node_294_INORM,0.2516315,0.0007129
269,./node_269_INORM,0.1409934,0.0315976
305,./node_305_INORM,0.3710881,0.0000009
191,./node_191_INORM,0.3431334,0.0000159
21,./node_21_INORM,0.3865320,0.0000003
248,./node_248_INORM,0.2226413,0.0014212
227,./node_227_INORM,0.3738929,0.0000026
103,./node_103_INORM,0.2819653,0.0002195
324,./node_324_INORM,0.2000539,0.0055842
4,./node_4_INORM,0.2978761,0.0000776
57,./node_57_INORM,0.3909463,0.0000076
251,./node_251_INORM,0.2820112,0.0000737
38,./node_38_INORM,0.2309546,0.0019563
188,./node_188_INORM,0.4377230,9.525685e-09
175,./node_175_INORM,0.3836181,0.0000006
352,./node_352_INORM,0.3440636,0.0000122
270,./node_270_INORM,0.1359907,0.0241096
19,./node_19_INORM,0.3726658,0.0000016
154,./node_154_INORM,0.3522711,0.0000041
76,./node_76_INORM,0.2949667,0.0000977
310,./node_310_INORM,0.2779928,0.0003162
15,./node_15_INORM,0.2785754,0.0001000
281,./node_281_INORM,0.4537792,0.0000001
158,./node_158_INORM,0.2981584,0.0000615
137,./node_137_INORM,0.2855666,0.0003047
213,./node_213_INORM,0.2532134,0.0001776
87,./node_87_INORM,0.2104018,0.0030943
331,./node_331_INORM,0.2536264,0.0002971
116,./node_116_INORM,0.3705790,0.0000030
232,./node_232_INORM,0.4512955,5.7456755e-09
34,./node_34_INORM,0.3491950,0.0000002
184,./node_184_INORM,0.3110873,0.0000554
179,./node_179_INORM,0.2365684,0.0007989
142,./node_142_INORM,0.2813162,0.0003971
266,./node_266_INORM,0.2324117,0.0024629
209,./node_209_INORM,0.1552482,0.0312730
60,./node_60_INORM,0.3876780,0.0000053
228,./node_228_INORM,0.3638090,0.0000021
41,./node_41_INORM,0.3323629,0.0000312
163,./node_163_INORM,0.3587878,0.0000031
247,./node_247_INORM,0.1689557,0.0147315
344,./node_344_INORM,0.3554000,0.0000005
348,./node_348_INORM,0.4015790,0.0000017
327,./node_327_INORM,0.3663513,0.0000048
7,./node_7_INORM,0.3105840,0.0000375
224,./node_224_INORM,0.1601739,0.0230679
100,./node_100_INORM,0.3832432,0.0000012
192,./node_192_INORM,0.2828502,0.0002674
22,./node_22_INORM,0.3235011,0.0000108
306,./node_306_INORM,0.2929932,0.0000489
297,./node_297_INORM,0.3393517,0.0000239
91,./node_91_INORM,0.2255147,0.0021414
205,./node_205_INORM,0.3474909,0.0000117
121,./node_121_INORM,0.3007211,0.0001979
353,./node_353_INORM,0.3121831,0.0000607
56,./node_56_INORM,0.3930238,0.0000010
174,./node_174_INORM,0.3033994,0.0001454
189,./node_189_INORM,0.4309028,1.1360641e-08
39,./node_39_INORM,0.3837146,0.0000002
250,./node_250_INORM,0.2166937,0.0027058
155,./node_155_INORM,0.3890879,0.0000011
18,./node_18_INORM,0.3250685,0.0000154
271,./node_271_INORM,0.2429643,0.0009754
77,./node_77_INORM,0.2409745,0.0005031
159,./node_159_INORM,0.3189404,0.0000221
14,./node_14_INORM,0.3021281,0.0000243
280,./node_280_INORM,0.4436097,0.0000001
212,./node_212_INORM,0.3560593,0.0000005
86,./node_86_INORM,0.1501423,0.0352056
136,./node_136_INORM,0.3667236,0.0000009
311,./node_311_INORM,0.3572622,0.0000008
233,./node_233_INORM,0.4190861,3.36326e-08
117,./node_117_INORM,0.4117112,0.0000005
178,./node_178_INORM,0.2595109,0.0001902
185,./node_185_INORM,0.2745514,0.0001669
35,./node_35_INORM,0.3509274,0.0000003
330,./node_330_INORM,0.2879682,0.0000749
267,./node_267_INORM,0.2099756,0.0027682
143,./node_143_INORM,0.2217264,0.0024541
61,./node_61_INORM,0.2556596,0.0003099
208,./node_208_INORM,0.3373855,0.0000169
345,./node_345_INORM,0.3366307,0.0000030
40,./node_40_INORM,0.4438123,2.6143315e-09
229,./node_229_INORM,0.4117050,0.0000002
246,./node_246_INORM,0.3435461,0.0000074
162,./node_162_INORM,0.2587712,0.0002857
101,./node_101_INORM,0.4243246,4.7223855e-08
225,./node_225_INORM,0.1898249,0.0115313
23,./node_23_INORM,0.3633509,0.0000015
193,./node_193_INORM,0.3540256,0.0000040
349,./node_349_INORM,0.3145714,0.0000816
6,./node_6_INORM,0.2980089,0.0000542
326,./node_326_INORM,0.3355895,0.0000193
296,./node_296_INORM,0.4016539,0.0000003
120,./node_120_INORM,0.4234067,1.9468061e-09
90,./node_90_INORM,0.1885229,0.0048233
204,./node_204_INORM,0.3710262,0.0000048
307,./node_307_INORM,0.2267576,0.0018352
110,./node_110_INORM,0.3229119,0.0000259
234,./node_234_INORM,0.4500918,2.3169368e-09
32,./node_32_INORM,0.3529589,0.0000028
182,./node_182_INORM,0.4003775,0.0000005
358,./node_358_INORM,0.2130313,0.0045620
337,./node_337_INORM,0.3859918,0.0000006
13,./node_13_INORM,0.3459748,0.0000064
287,./node_287_INORM,0.3409813,0.0000099
131,./node_131_INORM,0.3514542,0.0000013
215,./node_215_INORM,0.3726274,0.0000003
81,./node_81_INORM,0.3017036,0.0000514
316,./node_316_INORM,0.3328904,0.0000440
276,./node_276_INORM,0.2567595,0.0006880
152,./node_152_INORM,0.4131353,0.0000006
70,./node_70_INORM,0.2583671,0.0001733
219,./node_219_INORM,0.4324838,2.2277349e-08
354,./node_354_INORM,0.3304910,0.0000486
51,./node_51_INORM,0.4471906,1.6969897e-09
238,./node_238_INORM,0.2824049,0.0001386
257,./node_257_INORM,0.1477697,0.0269501
173,./node_173_INORM,0.3260250,0.0000319
148,./node_148_INORM,0.2141416,0.0060441
291,./node_291_INORM,0.2138422,0.0045767
97,./node_97_INORM,0.2409161,0.0006339
203,./node_203_INORM,0.3959921,0.0000002
127,./node_127_INORM,0.2931536,0.0000718
300,./node_300_INORM,0.5007803,3.4772491e-11
222,./node_222_INORM,0.3457182,0.0000116
106,./node_106_INORM,0.3256184,0.0000338
169,./node_169_INORM,0.2931505,0.0002015
194,./node_194_INORM,0.2762553,0.0001646
24,./node_24_INORM,0.3886918,0.0000038
321,./node_321_INORM,0.3318364,0.0000330
1,./node_1_INORM,0.1975943,0.0060615
342,./node_342_INORM,0.2063185,0.0030243
47,./node_47_INORM,0.3751968,0.0000014
165,./node_165_INORM,0.2838821,0.0000478
198,./node_198_INORM,0.3778786,0.0000008
28,./node_28_INORM,0.3244450,0.0000213
241,./node_241_INORM,0.2573924,0.0004146
144,./node_144_INORM,0.2694869,0.0001647
260,./node_260_INORM,0.1916168,0.0138116
66,./node_66_INORM,0.3010658,0.0000214
359,./node_359_INORM,0.1790859,0.0088217
336,./node_336_INORM,0.3491132,0.0000018
235,./node_235_INORM,0.4033064,0.0000002
111,./node_111_INORM,0.2912375,0.0001230
183,./node_183_INORM,0.3469627,0.0000095
33,./node_33_INORM,0.3497254,0.0000005
317,./node_317_INORM,0.1888197,0.0162305
12,./node_12_INORM,0.4017913,0.0000005
286,./node_286_INORM,0.3275789,0.0000324
214,./node_214_INORM,0.2778994,0.0000476
80,./node_80_INORM,0.2825805,0.0002336
130,./node_130_INORM,0.3479490,0.0000021
153,./node_153_INORM,0.3377196,0.0000205
277,./node_277_INORM,0.1481405,0.0329465
218,./node_218_INORM,0.1929185,0.0078420
71,./node_71_INORM,0.2303803,0.0006965
239,./node_239_INORM,0.3047346,0.0001736
50,./node_50_INORM,0.2977587,0.0001142
172,./node_172_INORM,0.3607210,0.0000017
256,./node_256_INORM,0.2216592,0.0036618
355,./node_355_INORM,0.3644506,0.0000034
301,./node_301_INORM,0.3064154,0.0000896
290,./node_290_INORM,0.2895327,0.0000506
149,./node_149_INORM,0.2680436,0.0001233
126,./node_126_INORM,0.2456616,0.0006904
96,./node_96_INORM,0.2937982,0.0001654
202,./node_202_INORM,0.4020073,0.0000001
320,./node_320_INORM,0.3391346,0.0000185
107,./node_107_INORM,0.3610063,0.0000021
223,./node_223_INORM,0.3334175,0.0000383
25,./node_25_INORM,0.3162758,0.0000409
195,./node_195_INORM,0.2120513,0.0025120
168,./node_168_INORM,0.3679575,0.0000037
46,./node_46_INORM,0.2307238,0.0022399
