node,name,H2r,rp
62,./node_62_INORM,0.2963230,0.0000239
312,./node_312_INORM,0.3879743,0.0000003
135,./node_135_INORM,0.2299109,0.0016313
211,./node_211_INORM,0.3885142,0.0000008
283,./node_283_INORM,0.1886767,0.0075016
333,./node_333_INORM,0.2955581,0.0005950
43,./node_43_INORM,0.2332766,0.0036499
186,./node_186_INORM,0.2637976,0.0009887
114,./node_114_INORM,0.1530870,0.0305069
230,./node_230_INORM,0.1733230,0.0160863
253,./node_253_INORM,0.2004238,0.0058243
177,./node_177_INORM,0.3192846,0.0000046
118,./node_118_INORM,0.3327696,0.0000041
20,./node_20_INORM,0.3677086,0.0000126
350,./node_350_INORM,0.3204501,0.0000316
139,./node_139_INORM,0.3007508,0.0002110
272,./node_272_INORM,0.1432489,0.0345399
156,./node_156_INORM,0.3520670,0.0000072
93,./node_93_INORM,0.0322339,0.3189041
325,./node_325_INORM,0.1303235,0.0379809
55,./node_55_INORM,0.3262270,0.0000424
190,./node_190_INORM,0.2349197,0.0028472
249,./node_249_INORM,0.3455880,0.0000036
226,./node_226_INORM,0.1964822,0.0061712
102,./node_102_INORM,0.1662156,0.0287527
89,./node_89_INORM,0.2127662,0.0037203
74,./node_74_INORM,0.1462080,0.0337810
304,./node_304_INORM,0.2413754,0.0012644
207,./node_207_INORM,0.2113545,0.0049061
123,./node_123_INORM,0.3552054,0.0000071
268,./node_268_INORM,0.4481746,7.978758e-09
295,./node_295_INORM,0.3155713,0.0000348
140,./node_140_INORM,0.2908599,0.0004666
264,./node_264_INORM,0.1152855,0.0743844
299,./node_299_INORM,0.2780340,0.0003522
85,./node_85_INORM,0.1690025,0.0186099
78,./node_78_INORM,0.0712737,0.1966898
308,./node_308_INORM,0.2398635,0.0015967
17,./node_17_INORM,0.2369762,0.0020004
161,./node_161_INORM,0.3716785,0.0000006
245,./node_245_INORM,0.4957288,1.4392138e-10
36,./node_36_INORM,0.3101991,0.0000885
329,./node_329_INORM,0.2154730,0.0019425
346,./node_346_INORM,0.2083776,0.0055502
59,./node_59_INORM,0.2163227,0.0033908
210,./node_210_INORM,0.4665590,6.872249e-10
134,./node_134_INORM,0.2070634,0.0015421
282,./node_282_INORM,0.3119069,0.0003090
63,./node_63_INORM,0.2005125,0.0040014
313,./node_313_INORM,0.1466811,0.0225789
187,./node_187_INORM,0.2815257,0.0004107
231,./node_231_INORM,0.3322291,0.0000268
115,./node_115_INORM,0.2787316,0.0006726
332,./node_332_INORM,0.2679323,0.0007137
42,./node_42_INORM,0.2370633,0.0035031
21,./node_21_INORM,0.3760567,0.0000023
351,./node_351_INORM,0.1982203,0.0053175
176,./node_176_INORM,0.3502717,0.0000088
252,./node_252_INORM,0.3561219,0.0000015
119,./node_119_INORM,0.3496552,0.0000005
92,./node_92_INORM,0.2886079,0.0000541
1,./node_1_INORM,0.2005851,0.0091935
138,./node_138_INORM,0.2523464,0.0012223
157,./node_157_INORM,0.2926915,0.0002425
273,./node_273_INORM,0.1014644,0.0932725
248,./node_248_INORM,0.3278002,0.0000066
191,./node_191_INORM,0.3591713,0.0000094
103,./node_103_INORM,0.2789567,0.0005309
227,./node_227_INORM,0.2290155,0.0035868
324,./node_324_INORM,0.0767608,0.1533212
54,./node_54_INORM,0.3489414,0.0000058
122,./node_122_INORM,0.2734647,0.0001193
206,./node_206_INORM,0.3058919,0.0000641
294,./node_294_INORM,0.1898505,0.0089030
269,./node_269_INORM,0.2235158,0.0017299
75,./node_75_INORM,0.2226554,0.0025242
88,./node_88_INORM,0.3246082,0.0000261
305,./node_305_INORM,0.2476170,0.0009843
79,./node_79_INORM,0.2380531,0.0016251
84,./node_84_INORM,0.0491982,0.2748542
16,./node_16_INORM,0.2882398,0.0004499
309,./node_309_INORM,0.2772532,0.0002850
298,./node_298_INORM,0.3468143,0.0000143
265,./node_265_INORM,0.1625078,0.0240581
141,./node_141_INORM,0.3054469,0.0002149
328,./node_328_INORM,0.2017531,0.0092832
37,./node_37_INORM,0.2577636,0.0016295
58,./node_58_INORM,0.2206270,0.0019153
347,./node_347_INORM,0.1856379,0.0145194
244,./node_244_INORM,0.3389520,0.0000062
160,./node_160_INORM,0.2352402,0.0028143
41,./node_41_INORM,0.3021868,0.0002767
331,./node_331_INORM,0.3427060,0.0000012
232,./node_232_INORM,0.2906906,0.0002454
116,./node_116_INORM,0.2209490,0.0047636
184,./node_184_INORM,0.2212498,0.0067394
179,./node_179_INORM,0.2406160,0.0007699
310,./node_310_INORM,0.1654452,0.0227998
60,./node_60_INORM,0.2780109,0.0008797
158,./node_158_INORM,0.3118069,0.0000740
281,./node_281_INORM,0.3311205,0.0000635
213,./node_213_INORM,0.3196184,0.0000112
137,./node_137_INORM,0.1561689,0.0320346
154,./node_154_INORM,0.2853706,0.0003990
270,./node_270_INORM,0.1271539,0.0351911
2,./node_2_INORM,0.3196487,0.0000718
91,./node_91_INORM,0.1358759,0.0412100
188,./node_188_INORM,0.3695319,0.0000053
175,./node_175_INORM,0.2385537,0.0018391
251,./node_251_INORM,0.2673211,0.0002654
352,./node_352_INORM,0.2765216,0.0003058
22,./node_22_INORM,0.3040789,0.0001184
19,./node_19_INORM,0.3033980,0.0001867
306,./node_306_INORM,0.3046290,0.0000194
76,./node_76_INORM,0.3336949,0.0000282
297,./node_297_INORM,0.1691212,0.0203341
121,./node_121_INORM,0.2586538,0.0011697
205,./node_205_INORM,0.3179762,0.0000692
57,./node_57_INORM,0.2852817,0.0005395
348,./node_348_INORM,0.3570029,0.0000213
327,./node_327_INORM,0.2856778,0.0002767
38,./node_38_INORM,0.1689136,0.0206830
100,./node_100_INORM,0.2988784,0.0002571
224,./node_224_INORM,0.1717842,0.0183459
192,./node_192_INORM,0.2924525,0.0001834
228,./node_228_INORM,0.2592838,0.0008825
247,./node_247_INORM,0.1338192,0.0336131
163,./node_163_INORM,0.2354212,0.0022738
344,./node_344_INORM,0.4558721,1.0165738e-11
34,./node_34_INORM,0.3781431,1.791926e-08
266,./node_266_INORM,0.1940956,0.0092687
142,./node_142_INORM,0.3413544,0.0000623
209,./node_209_INORM,0.1716966,0.0135922
15,./node_15_INORM,0.2079511,0.0026064
87,./node_87_INORM,0.2253279,0.0040602
117,./node_117_INORM,0.2048390,0.0078453
233,./node_233_INORM,0.3285208,0.0000438
178,./node_178_INORM,0.1758965,0.0140027
185,./node_185_INORM,0.2356132,0.0026035
40,./node_40_INORM,0.3266150,0.0000452
330,./node_330_INORM,0.3046341,0.0000502
280,./node_280_INORM,0.3285208,0.0000561
159,./node_159_INORM,0.3116034,0.0002450
136,./node_136_INORM,0.2337670,0.0027684
212,./node_212_INORM,0.2261241,0.0008284
311,./node_311_INORM,0.2626761,0.0005715
61,./node_61_INORM,0.3406063,0.0000026
3,./node_3_INORM,0.3232160,0.0001990
90,./node_90_INORM,0.1233200,0.0341685
271,./node_271_INORM,0.2195145,0.0016237
155,./node_155_INORM,0.4593544,6.8131545e-10
353,./node_353_INORM,0.2360813,0.0019707
23,./node_23_INORM,0.3172019,0.0001214
250,./node_250_INORM,0.1980354,0.0047357
174,./node_174_INORM,0.1866139,0.0124364
189,./node_189_INORM,0.3252928,0.0000510
296,./node_296_INORM,0.3090452,0.0001167
204,./node_204_INORM,0.2162305,0.0040371
120,./node_120_INORM,0.3206378,0.0000183
307,./node_307_INORM,0.2585870,0.0003879
18,./node_18_INORM,0.2265689,0.0025645
77,./node_77_INORM,0.2292458,0.0011651
225,./node_225_INORM,0.1259351,0.0629511
101,./node_101_INORM,0.3445441,0.0000181
193,./node_193_INORM,0.2421304,0.0024365
349,./node_349_INORM,0.3281036,0.0000604
56,./node_56_INORM,0.3090713,0.0001050
39,./node_39_INORM,0.3135915,0.0000614
326,./node_326_INORM,0.2725482,0.0004268
345,./node_345_INORM,0.4444589,1.3394919e-09
35,./node_35_INORM,0.4115050,1.0302438e-08
229,./node_229_INORM,0.3244724,0.0001039
162,./node_162_INORM,0.2420713,0.0004723
246,./node_246_INORM,0.3931669,0.0000001
14,./node_14_INORM,0.2435547,0.0005041
86,./node_86_INORM,0.1010886,0.1147738
143,./node_143_INORM,0.2972701,0.0001714
267,./node_267_INORM,0.1290630,0.0445605
208,./node_208_INORM,0.3004180,0.0001426
354,./node_354_INORM,0.2639658,0.0007792
24,./node_24_INORM,0.2777906,0.0005139
238,./node_238_INORM,0.2408085,0.0015662
173,./node_173_INORM,0.2170404,0.0044555
257,./node_257_INORM,0.1588338,0.0148825
4,./node_4_INORM,0.2405386,0.0031168
97,./node_97_INORM,0.1682136,0.0134281
152,./node_152_INORM,0.3404895,0.0000480
