node,name,H2r,rp
25,./node_25_INORM,0.0634900,0.1973023
403,./node_403_INORM,0.0000000,0.5000000
100,./node_100_INORM,0.0749023,0.1528960
224,./node_224_INORM,0.0000000,0.5000000
727,./node_727_INORM,0.0570021,0.2430656
822,./node_822_INORM,0.0263664,0.3672887
748,./node_748_INORM,0.0636921,0.2004612
192,./node_192_INORM,0.0000000,0.5000000
491,./node_491_INORM,0.0013837,0.4932536
348,./node_348_INORM,0.1532318,0.0267367
592,./node_592_INORM,0.0000000,0.5000000
500,./node_500_INORM,0.0000000,0.5000000
921,./node_921_INORM,0.0532608,0.2596644
327,./node_327_INORM,0.0000000,0.5000000
624,./node_624_INORM,0.0863058,0.1240329
794,./node_794_INORM,0.0388480,0.3063417
297,./node_297_INORM,0.0000000,0.5000000
769,./node_769_INORM,0.0456515,0.2846879
891,./node_891_INORM,0.0324241,0.3354025
1006,./node_1006_INORM,0.0640444,0.2172483
96,./node_96_INORM,0.0593239,0.2161941
422,./node_422_INORM,0.0753106,0.1755461
121,./node_121_INORM,0.0637995,0.1972384
803,./node_803_INORM,0.0160230,0.4198501
205,./node_205_INORM,0.0000000,0.5000000
706,./node_706_INORM,0.0029275,0.4847810
521,./node_521_INORM,0.0000000,0.5000000
306,./node_306_INORM,0.1135961,0.0773829
605,./node_605_INORM,0.0000000,0.5000000
900,./node_900_INORM,0.0564781,0.2506390
992,./node_992_INORM,0.0600257,0.2350570
369,./node_369_INORM,0.0000000,0.5000000
697,./node_697_INORM,0.0630021,0.2091401
394,./node_394_INORM,0.0000000,0.5000000
609,./node_609_INORM,0.0871012,0.1211821
963,./node_963_INORM,0.0635157,0.2237516
365,./node_365_INORM,0.1430724,0.0336540
398,./node_398_INORM,0.0000000,0.5000000
666,./node_666_INORM,0.0000000,0.5000000
542,./node_542_INORM,0.0651153,0.2032064
266,./node_266_INORM,0.0778818,0.1564549
798,./node_798_INORM,0.0218090,0.3979749
765,./node_765_INORM,0.0210619,0.3991384
860,./node_860_INORM,0.0270294,0.3736875
67,./node_67_INORM,0.0531106,0.2320906
441,./node_441_INORM,0.0000000,0.5000000
142,./node_142_INORM,0.0210523,0.3912142
209,./node_209_INORM,0.0000000,0.5000000
344,./node_344_INORM,0.0000000,0.5000000
647,./node_647_INORM,0.0000000,0.5000000
942,./node_942_INORM,0.0748358,0.1867628
563,./node_563_INORM,0.0878196,0.1177777
628,./node_628_INORM,0.0000000,0.5000000
29,./node_29_INORM,0.0687622,0.1810681
228,./node_228_INORM,0.0000000,0.5000000
841,./node_841_INORM,0.0232560,0.3863298
247,./node_247_INORM,0.0000000,0.5000000
744,./node_744_INORM,0.0529097,0.2490636
460,./node_460_INORM,0.1038480,0.0828512
46,./node_46_INORM,0.0706012,0.1742839
163,./node_163_INORM,0.0021808,0.4885637
80,./node_80_INORM,0.0605329,0.2041513
158,./node_158_INORM,0.0490822,0.2611366
887,./node_887_INORM,0.0313173,0.3487850
