node,name,H2r,rp
536,./node_536_INORM,0.1527383,0.0254842
612,./node_612_INORM,0.2078874,0.0060584
311,./node_311_INORM,0.1310260,0.0517584
917,./node_917_INORM,0.1137807,0.0672217
978,./node_978_INORM,0.1613688,0.0172136
985,./node_985_INORM,0.1561438,0.0221853
383,./node_383_INORM,0.0977011,0.1116889
680,./node_680_INORM,0.0751801,0.1625428
559,./node_559_INORM,0.2270709,0.0018874
280,./node_280_INORM,0.1401141,0.0358300
783,./node_783_INORM,0.0689338,0.1799549
19,./node_19_INORM,0.1730199,0.0103444
886,./node_886_INORM,0.1563175,0.0190472
159,./node_159_INORM,0.1438373,0.0402472
136,./node_136_INORM,0.1902534,0.0114941
435,./node_435_INORM,0.1764227,0.0135060
76,./node_76_INORM,0.2798549,0.0002248
814,./node_814_INORM,0.0928920,0.1204733
711,./node_711_INORM,0.2059968,0.0028656
212,./node_212_INORM,0.1029238,0.0858182
959,./node_959_INORM,0.1647934,0.0158394
585,./node_585_INORM,0.1685780,0.0245336
578,./node_578_INORM,0.0996119,0.1031954
517,./node_517_INORM,0.2437080,0.0009899
936,./node_936_INORM,0.1190548,0.0761399
633,./node_633_INORM,0.0848776,0.1320088
330,./node_330_INORM,0.1397128,0.0406150
117,./node_117_INORM,0.1334791,0.0406567
414,./node_414_INORM,0.1735971,0.0112334
730,./node_730_INORM,0.2258567,0.0010795
233,./node_233_INORM,0.1035684,0.0982419
835,./node_835_INORM,0.0847158,0.1256464
57,./node_57_INORM,0.1643784,0.0147872
38,./node_38_INORM,0.1839869,0.0069803
178,./node_178_INORM,0.1287288,0.0436402
486,./node_486_INORM,0.1144551,0.0779213
185,./node_185_INORM,0.1106017,0.0673553
418,./node_418_INORM,0.1540978,0.0252907
839,./node_839_INORM,0.0738755,0.1609252
34,./node_34_INORM,0.2802656,0.0001466
856,./node_856_INORM,0.1005519,0.0947809
753,./node_753_INORM,0.0661900,0.2040673
250,./node_250_INORM,0.1033784,0.1028577
174,./node_174_INORM,0.1393892,0.0452038
189,./node_189_INORM,0.1126897,0.0761700
477,./node_477_INORM,0.1401732,0.0456792
650,./node_650_INORM,0.2981622,0.0000499
353,./node_353_INORM,0.1313980,0.0461938
955,./node_955_INORM,0.1265603,0.0580624
589,./node_589_INORM,0.1642548,0.0170458
574,./node_574_INORM,0.2685194,0.0003026
772,./node_772_INORM,0.0838605,0.1463570
271,./node_271_INORM,0.1477841,0.0271042
877,./node_877_INORM,0.1084247,0.0702446
15,./node_15_INORM,0.2670008,0.0002088
155,./node_155_INORM,0.2021722,0.0066535
456,./node_456_INORM,0.1041850,0.0970204
7,./node_7_INORM,0.2066655,0.0027546
439,./node_439_INORM,0.1042636,0.0975152
818,./node_818_INORM,0.1166440,0.0781600
87,./node_87_INORM,0.2470675,0.0008490
1013,./node_1013_INORM,0.1244793,0.0475269
974,./node_974_INORM,0.1198913,0.0540653
989,./node_989_INORM,0.1370596,0.0446003
671,./node_671_INORM,0.0999669,0.1025141
372,./node_372_INORM,0.1464477,0.0259732
555,./node_555_INORM,0.1830462,0.0098246
593,./node_593_INORM,0.2651987,0.0003932
349,./node_349_INORM,0.1367008,0.0366238
625,./node_625_INORM,0.1178840,0.0724855
326,./node_326_INORM,0.0879965,0.1383846
920,./node_920_INORM,0.1364372,0.0332897
501,./node_501_INORM,0.1686634,0.0161941
41,./node_41_INORM,0.1526553,0.0223778
823,./node_823_INORM,0.1401951,0.0280793
726,./node_726_INORM,0.1603469,0.0150541
225,./node_225_INORM,0.1183036,0.0752673
101,./node_101_INORM,0.1249022,0.0505601
402,./node_402_INORM,0.1522185,0.0280856
490,./node_490_INORM,0.1762388,0.0128602
193,./node_193_INORM,0.1911346,0.0089287
749,./node_749_INORM,0.0685138,0.1954581
901,./node_901_INORM,0.1109455,0.0701598
1009,./node_1009_INORM,0.1194216,0.0610151
604,./node_604_INORM,0.1815954,0.0148948
307,./node_307_INORM,0.1058601,0.0875912
520,./node_520_INORM,0.1013629,0.1032423
395,./node_395_INORM,0.1682305,0.0162168
696,./node_696_INORM,0.1097319,0.0816343
368,./node_368_INORM,0.0872730,0.1397052
993,./node_993_INORM,0.1614178,0.0152819
890,./node_890_INORM,0.1428526,0.0246874
768,./node_768_INORM,0.1341147,0.0400537
296,./node_296_INORM,0.1159824,0.0725105
795,./node_795_INORM,0.1051278,0.0994067
707,./node_707_INORM,0.1737691,0.0106818
204,./node_204_INORM,0.1245561,0.0653732
802,./node_802_INORM,0.0810470,0.1565310
60,./node_60_INORM,0.2503815,0.0010310
120,./node_120_INORM,0.1578044,0.0165380
423,./node_423_INORM,0.1399839,0.0457579
143,./node_143_INORM,0.1826654,0.0141663
440,./node_440_INORM,0.1024283,0.1020568
861,./node_861_INORM,0.1118702,0.0854717
764,./node_764_INORM,0.1673137,0.0125019
799,./node_799_INORM,0.1243496,0.0506305
267,./node_267_INORM,0.1242954,0.0456530
208,./node_208_INORM,0.1572846,0.0264464
91,./node_91_INORM,0.1482097,0.0225105
1005,./node_1005_INORM,0.1430462,0.0349868
608,./node_608_INORM,0.1105375,0.0818362
543,./node_543_INORM,0.1349753,0.0414187
667,./node_667_INORM,0.0799491,0.1534771
399,./node_399_INORM,0.0979587,0.1117192
364,./node_364_INORM,0.1374425,0.0326463
962,./node_962_INORM,0.1326528,0.0524271
229,./node_229_INORM,0.1218490,0.0677616
162,./node_162_INORM,0.1676094,0.0212912
461,./node_461_INORM,0.1494161,0.0367263
745,./node_745_INORM,0.0863819,0.1368527
246,./node_246_INORM,0.1120379,0.0860196
840,./node_840_INORM,0.0851604,0.1253976
22,./node_22_INORM,0.1743730,0.0096297
562,./node_562_INORM,0.1610005,0.0198126
943,./node_943_INORM,0.1221540,0.0490546
646,./node_646_INORM,0.1019357,0.0969555
345,./node_345_INORM,0.1177572,0.0622455
629,./node_629_INORM,0.1390649,0.0343469
1024,./node_1024_INORM,0.1412641,0.0301148
158,./node_158_INORM,0.0989886,0.0959349
887,./node_887_INORM,0.0977599,0.0914929
18,./node_18_INORM,0.2453326,0.0004691
782,./node_782_INORM,0.0940593,0.1250621
281,./node_281_INORM,0.1426086,0.0390949
213,./node_213_INORM,0.1442895,0.0378949
710,./node_710_INORM,0.0666595,0.1895137
815,./node_815_INORM,0.0878560,0.1336757
77,./node_77_INORM,0.1457539,0.0281798
434,./node_434_INORM,0.1827558,0.0106435
137,./node_137_INORM,0.1934859,0.0037516
916,./node_916_INORM,0.1296489,0.0405043
310,./node_310_INORM,0.1247847,0.0597912
613,./node_613_INORM,0.0946447,0.1135227
537,./node_537_INORM,0.2830639,0.0001769
558,./node_558_INORM,0.1242006,0.0558990
681,./node_681_INORM,0.0783776,0.1580518
382,./node_382_INORM,0.1577553,0.0239939
984,./node_984_INORM,0.1216873,0.0503953
979,./node_979_INORM,0.1178488,0.0694747
56,./node_56_INORM,0.1693660,0.0119027
834,./node_834_INORM,0.1009375,0.1105508
232,./node_232_INORM,0.1315414,0.0530767
731,./node_731_INORM,0.0902386,0.1277404
415,./node_415_INORM,0.1423435,0.0318184
116,./node_116_INORM,0.1267398,0.0491050
184,./node_184_INORM,0.1248527,0.0456876
487,./node_487_INORM,0.1926921,0.0074815
179,./node_179_INORM,0.1304690,0.0564508
