node,name,H2r,rp
875,./node_875_INORM,0.2517300,0.0001390
888,./node_888_INORM,0.2846496,0.0000314
770,./node_770_INORM,0.0854304,0.0999352
273,./node_273_INORM,0.0000000,0.5000000
1319,./node_1319_INORM,0.2874275,0.0000152
157,./node_157_INORM,0.0656788,0.1968737
454,./node_454_INORM,0.0000000,0.5000000
138,./node_138_INORM,0.0000000,0.5000000
1970,./node_1970_INORM,0.0000000,0.5000000
1376,./node_1376_INORM,0.0859256,0.1090469
1688,./node_1688_INORM,0.0914282,0.1085795
1675,./node_1675_INORM,0.1298723,0.0434171
1551,./node_1551_INORM,0.1880433,0.0027541
1052,./node_1052_INORM,0.0000000,0.5000000
34,./node_34_INORM,0.0246707,0.3777739
1275,./node_1275_INORM,0.2961518,0.0000088
1288,./node_1288_INORM,0.0000000,0.5000000
1776,./node_1776_INORM,0.0765916,0.1512696
2020,./node_2020_INORM,0.0000000,0.5000000
1873,./node_1873_INORM,0.0043639,0.4755462
538,./node_538_INORM,0.0000000,0.5000000
919,./node_919_INORM,0.0000000,0.5000000
1452,./node_1452_INORM,0.0000000,0.5000000
1151,./node_1151_INORM,0.0000000,0.5000000
673,./node_673_INORM,0.0713432,0.1638027
370,./node_370_INORM,0.0131425,0.4312859
976,./node_976_INORM,0.0000000,0.5000000
557,./node_557_INORM,0.0619425,0.2001681
1719,./node_1719_INORM,0.1343350,0.0412556
1357,./node_1357_INORM,0.1326965,0.0439404
1654,./node_1654_INORM,0.1142448,0.0634585
119,./node_119_INORM,0.0435722,0.2683597
1951,./node_1951_INORM,0.0176354,0.4014841
1570,./node_1570_INORM,0.0000000,0.5000000
1073,./node_1073_INORM,0.2516267,0.0001148
15,./node_15_INORM,0.1012446,0.0873629
751,./node_751_INORM,0.0015540,0.4905433
252,./node_252_INORM,0.0137941,0.4203502
87,./node_87_INORM,0.0857858,0.1336730
854,./node_854_INORM,0.0844928,0.1116517
176,./node_176_INORM,0.0000000,0.5000000
488,./node_488_INORM,0.0021221,0.4874370
475,./node_475_INORM,0.0008035,0.4953477
1338,./node_1338_INORM,0.0000000,0.5000000
957,./node_957_INORM,0.2845153,0.0000222
652,./node_652_INORM,0.0788192,0.1410547
351,./node_351_INORM,0.0000000,0.5000000
1738,./node_1738_INORM,0.0000000,0.5000000
576,./node_576_INORM,0.0000000,0.5000000
2001,./node_2001_INORM,0.0578780,0.2097627
1852,./node_1852_INORM,0.0577948,0.2134698
519,./node_519_INORM,0.0000000,0.5000000
1254,./node_1254_INORM,0.1948951,0.0050681
1757,./node_1757_INORM,0.0931866,0.1166303
938,./node_938_INORM,0.0047012,0.4736648
1473,./node_1473_INORM,0.0000000,0.5000000
1170,./node_1170_INORM,0.0420108,0.2922142
1410,./node_1410_INORM,0.2176685,0.0022062
1113,./node_1113_INORM,0.2381930,0.0002336
1237,./node_1237_INORM,0.1900431,0.0060006
1734,./node_1734_INORM,0.1080315,0.0779029
587,./node_587_INORM,0.0000000,0.5000000
1831,./node_1831_INORM,0.0683198,0.1795423
515,./node_515_INORM,0.0000000,0.5000000
1258,./node_1258_INORM,0.1874277,0.0073104
631,./node_631_INORM,0.0917524,0.1085453
332,./node_332_INORM,0.0000000,0.5000000
1181,./node_1181_INORM,0.1704160,0.0121214
934,./node_934_INORM,0.3067381,0.0000064
1482,./node_1482_INORM,0.1276448,0.0448057
1658,./node_1658_INORM,0.1621067,0.0210705
115,./node_115_INORM,0.0000000,0.5000000
416,./node_416_INORM,0.0000000,0.5000000
837,./node_837_INORM,0.0000000,0.5000000
1082,./node_1082_INORM,0.0808898,0.1274784
19,./node_19_INORM,0.0613331,0.2090233
1581,./node_1581_INORM,0.1691104,0.0142939
732,./node_732_INORM,0.1542752,0.0153992
231,./node_231_INORM,0.0097038,0.4505364
858,./node_858_INORM,0.0347916,0.2996113
1513,./node_1513_INORM,0.0000000,0.5000000
76,./node_76_INORM,0.0819391,0.1289541
1010,./node_1010_INORM,0.1930550,0.0022982
484,./node_484_INORM,0.0000000,0.5000000
1932,./node_1932_INORM,0.0517080,0.2329411
187,./node_187_INORM,0.0912327,0.1004436
479,./node_479_INORM,0.0119682,0.4316252
1334,./node_1334_INORM,0.1160538,0.0685647
1637,./node_1637_INORM,0.1233877,0.0386844
1279,./node_1279_INORM,0.0000000,0.5000000
1787,./node_1787_INORM,0.1023825,0.0736032
1284,./node_1284_INORM,0.0000000,0.5000000
1882,./node_1882_INORM,0.0000000,0.5000000
534,./node_534_INORM,0.0000000,0.5000000
915,./node_915_INORM,0.0000000,0.5000000
610,./node_610_INORM,0.0000000,0.5000000
313,./node_313_INORM,0.0540924,0.2307373
381,./node_381_INORM,0.0568361,0.2134666
682,./node_682_INORM,0.0320995,0.3148322
1431,./node_1431_INORM,0.2407468,0.0002053
987,./node_987_INORM,0.0000000,0.5000000
1132,./node_1132_INORM,0.3029802,0.0000076
2043,./node_2043_INORM,0.0000000,0.5000000
1810,./node_1810_INORM,0.0701375,0.1702885
1216,./node_1216_INORM,0.1684234,0.0066229
1715,./node_1715_INORM,0.2107459,0.0013031
879,./node_879_INORM,0.0000000,0.5000000
1532,./node_1532_INORM,0.0485516,0.2712995
57,./node_57_INORM,0.0165870,0.4145715
1031,./node_1031_INORM,0.0249232,0.3579731
884,./node_884_INORM,0.0000000,0.5000000
282,./node_282_INORM,0.0000000,0.5000000
781,./node_781_INORM,0.0000000,0.5000000
1315,./node_1315_INORM,0.2642979,0.0000556
1616,./node_1616_INORM,0.0481933,0.2476566
1913,./node_1913_INORM,0.0371654,0.3014406
458,./node_458_INORM,0.0000000,0.5000000
134,./node_134_INORM,0.0775651,0.1539409
1981,./node_1981_INORM,0.1094078,0.0629533
437,./node_437_INORM,0.0000000,0.5000000
1684,./node_1684_INORM,0.0879290,0.1183127
1387,./node_1387_INORM,0.1980901,0.0044306
1679,./node_1679_INORM,0.0606544,0.1941772
713,./node_713_INORM,0.1226441,0.0365641
210,./node_210_INORM,0.0739423,0.1473961
816,./node_816_INORM,0.2399015,0.0003911
38,./node_38_INORM,0.1131729,0.0657160
728,./node_728_INORM,0.0166132,0.3991914
1566,./node_1566_INORM,0.1110177,0.0559784
1098,./node_1098_INORM,0.0665192,0.1841595
1065,./node_1065_INORM,0.0979546,0.0806829
1947,./node_1947_INORM,0.0812358,0.1275080
1341,./node_1341_INORM,0.0616321,0.2201712
1642,./node_1642_INORM,0.2259827,0.0005397
160,./node_160_INORM,0.0994295,0.0898200
1928,./node_1928_INORM,0.0000000,0.5000000
463,./node_463_INORM,0.0000000,0.5000000
842,./node_842_INORM,0.0000000,0.5000000
1509,./node_1509_INORM,0.2156550,0.0024815
91,./node_91_INORM,0.0000000,0.5000000
747,./node_747_INORM,0.0765801,0.1250538
244,./node_244_INORM,0.0278231,0.3659951
560,./node_560_INORM,0.0000000,0.5000000
644,./node_644_INORM,0.1246957,0.0437614
347,./node_347_INORM,0.0308495,0.3379394
941,./node_941_INORM,0.1420791,0.0201003
1109,./node_1109_INORM,0.0000000,0.5000000
1465,./node_1465_INORM,0.1716339,0.0114538
1498,./node_1498_INORM,0.0000000,0.5000000
1166,./node_1166_INORM,0.2081277,0.0010726
328,./node_328_INORM,0.0000000,0.5000000
1242,./node_1242_INORM,0.1611118,0.0095021
1741,./node_1741_INORM,0.0793355,0.1410495
2017,./node_2017_INORM,0.0191392,0.3930956
1844,./node_1844_INORM,0.0736077,0.1668629
141,./node_141_INORM,0.1127375,0.0600584
3,./node_3_INORM,0.1191138,0.0536689
1909,./node_1909_INORM,0.0392249,0.2924883
442,./node_442_INORM,0.0000000,0.5000000
766,./node_766_INORM,0.2453890,0.0003487
298,./node_298_INORM,0.0000000,0.5000000
265,./node_265_INORM,0.0547393,0.2384648
863,./node_863_INORM,0.0000000,0.5000000
1528,./node_1528_INORM,0.1934573,0.0062417
1547,./node_1547_INORM,0.1893607,0.0074095
22,./node_22_INORM,0.1229086,0.0496817
1044,./node_1044_INORM,0.0788170,0.1255399
709,./node_709_INORM,0.0438774,0.2585114
1360,./node_1360_INORM,0.0000000,0.5000000
1663,./node_1663_INORM,0.0000000,0.5000000
1966,./node_1966_INORM,0.0000000,0.5000000
309,./node_309_INORM,0.0000000,0.5000000
1444,./node_1444_INORM,0.0000000,0.5000000
1147,./node_1147_INORM,0.0841226,0.1365268
2036,./node_2036_INORM,0.0000000,0.5000000
1898,./node_1898_INORM,0.0327582,0.3230573
1865,./node_1865_INORM,0.0000000,0.5000000
1263,./node_1263_INORM,0.0000000,0.5000000
1760,./node_1760_INORM,0.0461635,0.2642015
541,./node_541_INORM,0.0297165,0.3501510
960,./node_960_INORM,0.2524196,0.0001265
1128,./node_1128_INORM,0.0325519,0.3237934
665,./node_665_INORM,0.1129927,0.0629158
698,./node_698_INORM,0.1743818,0.0083472
366,./node_366_INORM,0.0157040,0.4168952
606,./node_606_INORM,0.0939009,0.1009551
305,./node_305_INORM,0.0000000,0.5000000
903,./node_903_INORM,0.0000000,0.5000000
1448,./node_1448_INORM,0.0994008,0.0699546
1894,./node_1894_INORM,0.0199710,0.3894570
1869,./node_1869_INORM,0.0496927,0.2458015
522,./node_522_INORM,0.0450216,0.2831732
1791,./node_1791_INORM,0.0823373,0.1435165
1292,./node_1292_INORM,0.0000000,0.5000000
1200,./node_1200_INORM,0.1523999,0.0236591
1703,./node_1703_INORM,0.1316875,0.0433863
1806,./node_1806_INORM,0.0000000,0.5000000
1427,./node_1427_INORM,0.0000000,0.5000000
1124,./node_1124_INORM,0.0000000,0.5000000
991,./node_991_INORM,0.2159932,0.0007307
669,./node_669_INORM,0.1363644,0.0300714
397,./node_397_INORM,0.0052355,0.4707102
694,./node_694_INORM,0.0000000,0.5000000
1905,./node_1905_INORM,0.0020858,0.4883980
1303,./node_1303_INORM,0.0356800,0.3278804
1600,./node_1600_INORM,0.1598521,0.0178203
294,./node_294_INORM,0.0627438,0.1964523
797,./node_797_INORM,0.0000000,0.5000000
269,./node_269_INORM,0.0088609,0.4485395
1524,./node_1524_INORM,0.2039704,0.0037850
892,./node_892_INORM,0.0000000,0.5000000
1027,./node_1027_INORM,0.0080751,0.4526426
41,./node_41_INORM,0.0579375,0.2222321
800,./node_800_INORM,0.2316010,0.0004306
1048,./node_1048_INORM,0.0150225,0.4161511
705,./node_705_INORM,0.0000000,0.5000000
206,./node_206_INORM,0.0501790,0.2681320
1692,./node_1692_INORM,0.0543915,0.2337232
1391,./node_1391_INORM,0.2727859,0.0000345
1997,./node_1997_INORM,0.0000000,0.5000000
122,./node_122_INORM,0.1158863,0.0537323
421,./node_421_INORM,0.0000000,0.5000000
591,./node_591_INORM,0.0492082,0.2409102
1827,./node_1827_INORM,0.0000000,0.5000000
1221,./node_1221_INORM,0.0185478,0.3971830
1722,./node_1722_INORM,0.0051364,0.4712568
648,./node_648_INORM,0.0202373,0.3824515
1406,./node_1406_INORM,0.0286941,0.3626324
1105,./node_1105_INORM,0.0181336,0.4023062
922,./node_922_INORM,0.0013336,0.4917665
1469,./node_1469_INORM,0.0810933,0.1603824
1197,./node_1197_INORM,0.1426966,0.0328567
1494,./node_1494_INORM,0.0000000,0.5000000
627,./node_627_INORM,0.1175654,0.0514580
324,./node_324_INORM,0.0000000,0.5000000
1848,./node_1848_INORM,0.0653506,0.1873901
503,./node_503_INORM,0.0000000,0.5000000
724,./node_724_INORM,0.1236696,0.0352167
227,./node_227_INORM,0.0327701,0.3402151
1094,./node_1094_INORM,0.0000000,0.5000000
821,./node_821_INORM,0.0000000,0.5000000
1597,./node_1597_INORM,0.0000000,0.5000000
1069,./node_1069_INORM,0.2239742,0.0004816
103,./node_103_INORM,0.0000000,0.5000000
400,./node_400_INORM,0.0000000,0.5000000
1322,./node_1322_INORM,0.0000000,0.5000000
1621,./node_1621_INORM,0.1497203,0.0250672
492,./node_492_INORM,0.0468799,0.2545443
191,./node_191_INORM,0.0445413,0.2883672
1924,./node_1924_INORM,0.0201742,0.3902607
1505,./node_1505_INORM,0.2184033,0.0023989
1006,./node_1006_INORM,0.0000000,0.5000000
60,./node_60_INORM,0.1208003,0.0458007
248,./node_248_INORM,0.0559557,0.2115075
1150,./node_1150_INORM,0.0928468,0.0920551
1453,./node_1453_INORM,0.0000000,0.5000000
918,./node_918_INORM,0.1606890,0.0084932
539,./node_539_INORM,0.0000000,0.5000000
1872,./node_1872_INORM,0.1640010,0.0091501
2021,./node_2021_INORM,0.0000000,0.5000000
1777,./node_1777_INORM,0.0000000,0.5000000
1289,./node_1289_INORM,0.1981410,0.0044693
1274,./node_1274_INORM,0.0000000,0.5000000
1718,./node_1718_INORM,0.0721605,0.1658171
556,./node_556_INORM,0.0058407,0.4651285
977,./node_977_INORM,0.0000000,0.5000000
371,./node_371_INORM,0.0000000,0.5000000
672,./node_672_INORM,0.1672200,0.0089026
455,./node_455_INORM,0.0000000,0.5000000
156,./node_156_INORM,0.0000000,0.5000000
1318,./node_1318_INORM,0.0077862,0.4556495
272,./node_272_INORM,0.0000000,0.5000000
771,./node_771_INORM,0.0248311,0.3552109
889,./node_889_INORM,0.0000000,0.5000000
874,./node_874_INORM,0.2402100,0.0003004
1053,./node_1053_INORM,0.0000000,0.5000000
35,./node_35_INORM,0.1170491,0.0568790
1550,./node_1550_INORM,0.1606167,0.0102354
1674,./node_1674_INORM,0.0861111,0.1042003
1689,./node_1689_INORM,0.0976442,0.0945225
1377,./node_1377_INORM,0.1261124,0.0510785
1971,./node_1971_INORM,0.0676301,0.1718182
139,./node_139_INORM,0.0000000,0.5000000
577,./node_577_INORM,0.0000000,0.5000000
1739,./node_1739_INORM,0.0000000,0.5000000
350,./node_350_INORM,0.0201598,0.3912824
653,./node_653_INORM,0.1054347,0.0757681
956,./node_956_INORM,0.0000000,0.5000000
1171,./node_1171_INORM,0.1489571,0.0256354
1472,./node_1472_INORM,0.1987845,0.0044146
939,./node_939_INORM,0.2967971,0.0000139
1756,./node_1756_INORM,0.0825818,0.1338879
1255,./node_1255_INORM,0.2962380,0.0000093
518,./node_518_INORM,0.0000000,0.5000000
1853,./node_1853_INORM,0.1991292,0.0023429
2000,./node_2000_INORM,0.0666306,0.1756386
1072,./node_1072_INORM,0.1754580,0.0050056
14,./node_14_INORM,0.0735805,0.1751574
1571,./node_1571_INORM,0.1849150,0.0075889
1950,./node_1950_INORM,0.0000000,0.5000000
118,./node_118_INORM,0.1137421,0.0559322
1655,./node_1655_INORM,0.0000000,0.5000000
1356,./node_1356_INORM,0.2495105,0.0001219
1339,./node_1339_INORM,0.2029890,0.0042380
474,./node_474_INORM,0.0000000,0.5000000
489,./node_489_INORM,0.0000000,0.5000000
177,./node_177_INORM,0.0511058,0.2552529
86,./node_86_INORM,0.0000000,0.5000000
855,./node_855_INORM,0.2149827,0.0008264
253,./node_253_INORM,0.0000000,0.5000000
750,./node_750_INORM,0.2156219,0.0015548
230,./node_230_INORM,0.0000000,0.5000000
733,./node_733_INORM,0.1735544,0.0063177
18,./node_18_INORM,0.1399012,0.0283554
1580,./node_1580_INORM,0.1052283,0.0789568
1083,./node_1083_INORM,0.1446282,0.0174471
836,./node_836_INORM,0.0433086,0.2525459
417,./node_417_INORM,0.0000000,0.5000000
114,./node_114_INORM,0.0000000,0.5000000
1659,./node_1659_INORM,0.1912756,0.0024441
1636,./node_1636_INORM,0.1511290,0.0236615
1335,./node_1335_INORM,0.1585337,0.0182489
478,./node_478_INORM,0.0000000,0.5000000
186,./node_186_INORM,0.0739900,0.1673897
1933,./node_1933_INORM,0.0000000,0.5000000
485,./node_485_INORM,0.0000000,0.5000000
77,./node_77_INORM,0.1269370,0.0388199
1011,./node_1011_INORM,0.0000000,0.5000000
