node,name,H2r,rp
570,./node_570_INORM,0.4296642,0.0000002
1022,./node_1022_INORM,0.5353612,1.248988e-11
1521,./node_1521_INORM,0.3174549,0.0000571
357,./node_357_INORM,0.4896398,3.7406465e-10
1900,./node_1900_INORM,0.1565889,0.0252317
654,./node_654_INORM,0.4673502,1.498735e-08
1605,./node_1605_INORM,0.4290756,6.4018795e-10
54,./node_54_INORM,0.4722413,2.5805868e-10
1306,./node_1306_INORM,0.3464917,0.0000011
951,./node_951_INORM,0.4954810,4.4413063e-10
1394,./node_1394_INORM,0.2812748,0.0001495
1369,./node_1369_INORM,0.5562278,3.0473558e-13
1697,./node_1697_INORM,0.3336477,0.0000103
338,./node_338_INORM,0.5116156,1.0248345e-11
1992,./node_1992_INORM,0.2283565,0.0013847
1891,./node_1891_INORM,0.1651352,0.0198296
738,./node_738_INORM,0.5851978,1.1317631e-14
1297,./node_1297_INORM,0.3819759,0.0000001
1769,./node_1769_INORM,0.1638059,0.0229349
1794,./node_1794_INORM,0.1660039,0.0187132
1121,./node_1121_INORM,0.4713280,3.9680101e-09
1422,./node_1422_INORM,0.4550748,0.0000001
473,./node_473_INORM,0.5169098,1.3808224e-11
170,./node_170_INORM,0.5431504,3.1233898e-13
1706,./node_1706_INORM,0.1748256,0.0129306
852,./node_852_INORM,0.5510488,1.8081392e-12
1205,./node_1205_INORM,0.5056772,0.0000001
1803,./node_1803_INORM,0.3794972,0.0000005
254,./node_254_INORM,0.4457107,5.4363475e-09
757,./node_757_INORM,0.6129476,1.0263865e-16
319,./node_319_INORM,0.3461625,0.0000069
1348,./node_1348_INORM,0.4695969,7.205428e-09
1592,./node_1592_INORM,0.2464051,0.0007508
1091,./node_1091_INORM,0.5463060,1.619307e-11
1003,./node_1003_INORM,0.2201185,0.0025364
1500,./node_1500_INORM,0.3657478,0.0000025
551,./node_551_INORM,0.4837764,2.0667243e-11
1624,./node_1624_INORM,0.4464500,1.2027573e-10
88,./node_88_INORM,0.5080713,1.2348312e-11
75,./node_75_INORM,0.4250391,8.3052025e-09
970,./node_970_INORM,0.5140505,1.2124361e-11
1327,./node_1327_INORM,0.3648198,0.0000017
1921,./node_1921_INORM,0.2097183,0.0024203
688,./node_688_INORM,0.5123351,6.9061065e-12
376,./node_376_INORM,0.3754787,0.0000040
675,./node_675_INORM,0.5931535,3.771326e-15
452,./node_452_INORM,0.5227060,2.2833608e-11
151,./node_151_INORM,0.4065165,3.7776325e-08
1100,./node_1100_INORM,0.2424827,0.0008577
1403,./node_1403_INORM,0.3073165,0.0000221
275,./node_275_INORM,0.4478382,4.4236555e-09
1822,./node_1822_INORM,0.2580948,0.0003028
776,./node_776_INORM,0.5476126,1.7363227e-12
288,./node_288_INORM,0.4633048,3.3785933e-09
1727,./node_1727_INORM,0.3539885,0.0000100
