node,name,H2r,rp
879,./node_879_INORM,0.3784808,0.0000007
884,./node_884_INORM,0.3981902,0.0000001
282,./node_282_INORM,0.5099759,1.4149349e-12
781,./node_781_INORM,0.4993046,3.5344075e-11
458,./node_458_INORM,0.5187050,1.1484367e-12
134,./node_134_INORM,0.4923228,6.4369835e-12
437,./node_437_INORM,0.4272466,2.7607673e-08
713,./node_713_INORM,0.4950433,1.9525173e-10
210,./node_210_INORM,0.5096612,7.473714e-13
816,./node_816_INORM,0.4629125,1.4718666e-09
90,./node_90_INORM,0.4090111,5.297291e-09
534,./node_534_INORM,0.4717434,1.0434529e-08
915,./node_915_INORM,0.4619556,4.0203908e-10
610,./node_610_INORM,0.5424631,5.093126e-10
313,./node_313_INORM,0.3688225,0.0000002
381,./node_381_INORM,0.5146391,1.8207918e-12
682,./node_682_INORM,0.5110047,1.1139783e-10
987,./node_987_INORM,0.3716185,0.0000008
115,./node_115_INORM,0.3397007,0.0000019
416,./node_416_INORM,0.5417187,6.3024395e-14
837,./node_837_INORM,0.4397090,7.9569595e-10
732,./node_732_INORM,0.4697173,9.1943215e-12
231,./node_231_INORM,0.3675335,0.0000001
858,./node_858_INORM,0.4592399,2.2582394e-09
484,./node_484_INORM,0.5255231,4.6500247e-14
187,./node_187_INORM,0.3789652,0.0000001
479,./node_479_INORM,0.4679400,1.4312473e-11
587,./node_587_INORM,0.5225313,5.896152e-13
23,./node_23_INORM,0.4282525,5.936519e-09
515,./node_515_INORM,0.5276257,3.2866867e-13
631,./node_631_INORM,0.5394444,4.3203343e-10
332,./node_332_INORM,0.4025793,1.5601836e-08
934,./node_934_INORM,0.4003139,0.0000002
957,./node_957_INORM,0.3747697,0.0000008
652,./node_652_INORM,0.4694942,6.530251e-12
351,./node_351_INORM,0.4719762,2.8411203e-11
576,./node_576_INORM,0.4937349,9.010648e-11
1023,./node_1023_INORM,0.3780530,0.0000015
519,./node_519_INORM,0.3819880,0.0000001
40,./node_40_INORM,0.3149830,0.0000270
938,./node_938_INORM,0.2794176,0.0001632
119,./node_119_INORM,0.3334858,0.0000031
751,./node_751_INORM,0.4650294,1.9551562e-11
252,./node_252_INORM,0.4929304,3.0049127e-12
854,./node_854_INORM,0.4331928,2.1421616e-09
176,./node_176_INORM,0.4983461,1.1523133e-11
488,./node_488_INORM,0.3974074,1.8626386e-08
475,./node_475_INORM,0.4824195,1.243064e-10
1002,./node_1002_INORM,0.4069069,0.0000002
538,./node_538_INORM,0.4908485,1.0058095e-09
61,./node_61_INORM,0.4272105,2.5685237e-09
919,./node_919_INORM,0.3354651,0.0000085
673,./node_673_INORM,0.5234006,1.1984651e-12
370,./node_370_INORM,0.5329013,2.6065978e-13
1,./node_1_INORM,0.3178651,0.0000392
976,./node_976_INORM,0.4084921,0.0000001
557,./node_557_INORM,0.4154296,3.7051841e-09
875,./node_875_INORM,0.4615111,3.2349354e-10
888,./node_888_INORM,0.3312118,0.0000085
770,./node_770_INORM,0.4919523,4.7406186e-10
273,./node_273_INORM,0.3729204,0.0000005
157,./node_157_INORM,0.3709618,0.0000002
454,./node_454_INORM,0.4442874,2.0771985e-08
138,./node_138_INORM,0.4901262,1.886171e-11
724,./node_724_INORM,0.4803356,1.2786447e-09
227,./node_227_INORM,0.4219947,7.3217525e-09
821,./node_821_INORM,0.4597987,1.7439552e-09
103,./node_103_INORM,0.4270975,7.141704e-10
400,./node_400_INORM,0.5174663,2.3918633e-13
492,./node_492_INORM,0.5388062,7.964283e-14
191,./node_191_INORM,0.3900188,2.1303612e-08
248,./node_248_INORM,0.5289759,1.3434036e-13
591,./node_591_INORM,0.3860879,0.0000001
35,./node_35_INORM,0.4340534,2.2915438e-09
648,./node_648_INORM,0.3997647,2.1258002e-08
922,./node_922_INORM,0.3836015,0.0000005
627,./node_627_INORM,0.4621158,1.4772281e-11
324,./node_324_INORM,0.4019082,0.0000001
503,./node_503_INORM,0.4142911,3.739801e-09
294,./node_294_INORM,0.4237790,6.689739e-09
797,./node_797_INORM,0.4892316,5.535588e-11
269,./node_269_INORM,0.3696547,0.0000005
892,./node_892_INORM,0.3831054,0.0000003
800,./node_800_INORM,0.3545976,0.0000016
705,./node_705_INORM,0.4966766,4.8089092e-13
206,./node_206_INORM,0.4839185,3.8350909e-11
122,./node_122_INORM,0.4275618,5.3039725e-10
421,./node_421_INORM,0.4304091,1.307241e-09
606,./node_606_INORM,0.4841379,1.3184907e-12
305,./node_305_INORM,0.3875095,0.0000001
903,./node_903_INORM,0.3845607,0.0000004
1018,./node_1018_INORM,0.3232870,0.0000309
86,./node_86_INORM,0.4580338,2.1023218e-10
522,./node_522_INORM,0.4818822,1.2811219e-09
14,./node_14_INORM,0.4234696,1.110348e-08
