node,name,H2r,rp
339,./node_339_INORM,0.6953560,2.5098612e-15
1009,./node_1009_INORM,0.2713116,0.0010440
571,./node_571_INORM,0.3474307,0.0000064
655,./node_655_INORM,0.3383270,0.0000202
356,./node_356_INORM,0.3998089,0.0000001
950,./node_950_INORM,0.2302160,0.0037343
171,./node_171_INORM,0.7089945,2.8817065e-20
27,./node_27_INORM,0.6763147,2.674324e-18
472,./node_472_INORM,0.3273154,0.0000115
853,./node_853_INORM,0.2064851,0.0043599
756,./node_756_INORM,0.2644777,0.0006412
255,./node_255_INORM,0.4729545,1.0863782e-09
739,./node_739_INORM,0.3391123,0.0000333
48,./node_48_INORM,0.5849684,1.2781062e-13
550,./node_550_INORM,0.4854074,0.0000001
971,./node_971_INORM,0.3041806,0.0002256
674,./node_674_INORM,0.3481157,0.0000101
689,./node_689_INORM,0.2534069,0.0004759
377,./node_377_INORM,0.6074711,7.03225e-12
318,./node_318_INORM,0.7228486,4.3114121e-17
718,./node_718_INORM,0.2810519,0.0002476
69,./node_69_INORM,0.6377410,4.5326633e-16
94,./node_94_INORM,0.5456460,9.679102e-13
150,./node_150_INORM,0.7135591,1.2393892e-19
453,./node_453_INORM,0.3597672,0.0000013
777,./node_777_INORM,0.2509651,0.0010988
289,./node_289_INORM,0.5454173,1.8434174e-11
274,./node_274_INORM,0.6980755,1.1611703e-18
872,./node_872_INORM,0.1947712,0.0070232
811,./node_811_INORM,0.3814313,0.0000078
714,./node_714_INORM,0.3466142,0.0000187
217,./node_217_INORM,0.4621946,8.70676e-10
65,./node_65_INORM,0.5666778,1.5792614e-13
133,./node_133_INORM,0.4887007,5.3271645e-11
430,./node_430_INORM,0.5277436,4.9676554e-10
98,./node_98_INORM,0.6724320,1.1584558e-17
285,./node_285_INORM,0.7086438,2.4070925e-17
786,./node_786_INORM,0.2804950,0.0003253
278,./node_278_INORM,0.6069950,2.2471831e-14
883,./node_883_INORM,0.2786697,0.0005119
980,./node_980_INORM,0.2456686,0.0015811
678,./node_678_INORM,0.3415287,0.0000214
386,./node_386_INORM,0.4964507,1.1420431e-10
685,./node_685_INORM,0.2264868,0.0015007
617,./node_617_INORM,0.3615460,0.0000072
314,./node_314_INORM,0.7767771,3.9569979e-21
912,./node_912_INORM,0.2543239,0.0014150
533,./node_533_INORM,0.4878860,0.0000001
1024,./node_1024_INORM,0.2566822,0.0017376
483,./node_483_INORM,0.4853144,1.7406729e-09
180,./node_180_INORM,0.7239551,3.7238411e-20
259,./node_259_INORM,0.7721215,4.8923154e-22
735,./node_735_INORM,0.3434141,0.0000154
236,./node_236_INORM,0.5271246,4.3652385e-12
830,./node_830_INORM,0.2404057,0.0017234
44,./node_44_INORM,0.5547091,2.4927559e-12
112,./node_112_INORM,0.5209271,1.0727921e-11
411,./node_411_INORM,0.5904213,5.954628e-12
933,./node_933_INORM,0.4204927,0.0000018
636,./node_636_INORM,0.2640640,0.0002817
335,./node_335_INORM,0.7582521,3.2542508e-19
1005,./node_1005_INORM,0.3282793,0.0001486
512,./node_512_INORM,0.3874632,0.0000006
580,./node_580_INORM,0.3609642,0.0000067
659,./node_659_INORM,0.2464754,0.0006011
662,./node_662_INORM,0.3547877,0.0000140
361,./node_361_INORM,0.6952011,2.331017e-15
967,./node_967_INORM,0.3859840,0.0000102
546,./node_546_INORM,0.3503713,0.0000067
529,./node_529_INORM,0.3726570,0.0000020
908,./node_908_INORM,0.2333841,0.0026161
129,./node_129_INORM,0.6244420,2.1197034e-15
82,./node_82_INORM,0.5280202,1.4768297e-11
864,./node_864_INORM,0.1909021,0.0103567
