node,name,H2r,rp
1704,./node_1704_INORM,0.3457818,0.0000030
758,./node_758_INORM,0.5292892,7.3367325e-12
1207,./node_1207_INORM,0.4417721,2.1554933e-09
1801,./node_1801_INORM,0.2292352,0.0039565
1123,./node_1123_INORM,0.4172915,1.8329417e-08
481,./node_481_INORM,0.5197246,2.0142493e-10
182,./node_182_INORM,0.4330801,9.459469e-09
1420,./node_1420_INORM,0.3010746,0.0000524
110,./node_110_INORM,0.5340899,1.9286744e-12
413,./node_413_INORM,0.4694202,3.1408719e-10
832,./node_832_INORM,0.4338133,3.5951604e-09
1893,./node_1893_INORM,0.2647166,0.0010949
1295,./node_1295_INORM,0.3512447,0.0000012
737,./node_737_INORM,0.5446657,4.8222761e-11
1268,./node_1268_INORM,0.4674138,7.353165e-10
234,./node_234_INORM,0.6089439,1.2724783e-16
1796,./node_1796_INORM,0.2766013,0.0001463
510,./node_510_INORM,0.4955011,5.3754185e-11
634,./node_634_INORM,0.5474726,4.8601399e-13
1396,./node_1396_INORM,0.4431129,7.0533965e-09
1668,./node_1668_INORM,0.3844946,0.0000002
1695,./node_1695_INORM,0.1268496,0.0556502
337,./node_337_INORM,0.5657766,4.020766e-14
931,./node_931_INORM,0.3502722,0.0000029
1990,./node_1990_INORM,0.5188055,2.251256e-09
1902,./node_1902_INORM,0.2961443,0.0001981
1607,./node_1607_INORM,0.3426047,0.0000138
358,./node_358_INORM,0.5150979,5.7080625e-10
1304,./node_1304_INORM,0.3744679,0.0000005
40,./node_40_INORM,0.5165921,4.7068304e-12
582,./node_582_INORM,0.4136178,0.0000003
1020,./node_1020_INORM,0.4430624,5.0688865e-09
1523,./node_1523_INORM,0.5693366,9.5789035e-12
131,./node_131_INORM,0.4927119,1.0612783e-10
1493,./node_1493_INORM,0.4789499,6.8151255e-10
1190,./node_1190_INORM,0.5298525,3.1827085e-12
432,./node_432_INORM,0.4788194,2.7940485e-09
716,./node_716_INORM,0.5555282,3.9575017e-12
215,./node_215_INORM,0.5627738,7.99369e-15
1249,./node_1249_INORM,0.4807213,1.4667692e-10
813,./node_813_INORM,0.3724352,0.0000004
1820,./node_1820_INORM,0.3141967,0.0000545
881,./node_881_INORM,0.5147181,1.8356695e-10
779,./node_779_INORM,0.4528009,9.890437e-09
287,./node_287_INORM,0.3632371,0.0000002
1725,./node_1725_INORM,0.1776640,0.0153823
1226,./node_1226_INORM,0.3456416,0.0000015
784,./node_784_INORM,0.5371493,5.406682e-11
1102,./node_1102_INORM,0.4254070,2.6311816e-08
1401,./node_1401_INORM,0.2387074,0.0006241
1626,./node_1626_INORM,0.3948145,0.0000001
384,./node_384_INORM,0.4795430,4.8849635e-09
687,./node_687_INORM,0.5171023,6.526578e-10
1325,./node_1325_INORM,0.5076483,1.8291038e-11
379,./node_379_INORM,0.4581121,9.473138e-09
1923,./node_1923_INORM,0.2776541,0.0003948
982,./node_982_INORM,0.5527208,1.5291428e-12
61,./node_61_INORM,0.3939312,1.2070892e-08
1001,./node_1001_INORM,0.5659734,4.7126702e-14
1502,./node_1502_INORM,0.4522580,1.6024367e-09
1590,./node_1590_INORM,0.3242093,0.0000199
531,./node_531_INORM,0.4518696,2.9647519e-08
1093,./node_1093_INORM,0.3881946,0.0000004
910,./node_910_INORM,0.4308523,7.8325265e-09
1649,./node_1649_INORM,0.1029276,0.0861557
615,./node_615_INORM,0.3850375,0.0000047
316,./node_316_INORM,0.5806206,6.448137e-14
676,./node_676_INORM,0.4150218,1.128024e-08
388,./node_388_INORM,0.4524029,1.6391281e-08
1329,./node_1329_INORM,0.3497635,0.0000022
375,./node_375_INORM,0.5881525,2.9801786e-17
973,./node_973_INORM,0.5216553,5.685166e-11
90,./node_90_INORM,0.3700132,0.0000001
552,./node_552_INORM,0.4481537,3.3143748e-08
1062,./node_1062_INORM,0.3795565,0.0000012
1561,./node_1561_INORM,0.5487835,2.6757056e-10
1940,./node_1940_INORM,0.4483200,0.0000007
1645,./node_1645_INORM,0.5014548,7.9614105e-09
619,./node_619_INORM,0.4988903,3.510654e-09
1346,./node_1346_INORM,0.4477461,2.8202025e-09
1161,./node_1161_INORM,0.5368184,4.0744574e-12
1462,./node_1462_INORM,0.4771342,9.280842e-10
1746,./node_1746_INORM,0.2085597,0.0071639
219,./node_219_INORM,0.4150891,3.4046756e-08
1245,./node_1245_INORM,0.3612692,0.0000009
1843,./node_1843_INORM,0.3126817,0.0000826
2010,./node_2010_INORM,0.4014546,0.0000001
870,./node_870_INORM,0.4481703,2.1409271e-09
775,./node_775_INORM,0.5492228,1.2974283e-12
1729,./node_1729_INORM,0.1686020,0.0205109
788,./node_788_INORM,0.5296555,3.2054069e-11
276,./node_276_INORM,0.5137361,1.9652413e-10
152,./node_152_INORM,0.4442661,3.1980727e-09
451,./node_451_INORM,0.4740326,5.058831e-09
1043,./node_1043_INORM,0.3522819,0.0000036
23,./node_23_INORM,0.4809608,1.5679561e-10
1540,./node_1540_INORM,0.3234101,0.0000223
638,./node_638_INORM,0.5735815,4.7696107e-16
1664,./node_1664_INORM,0.2811006,0.0002382
1367,./node_1367_INORM,0.3634667,0.0000012
1699,./node_1699_INORM,0.3463829,0.0000024
1961,./node_1961_INORM,0.2497190,0.0010075
952,./node_952_INORM,0.4625747,9.517612e-10
657,./node_657_INORM,0.3923358,0.0000003
354,./node_354_INORM,0.5604315,1.9784527e-15
1308,./node_1308_INORM,0.5329336,3.7384761e-12
573,./node_573_INORM,0.3976043,0.0000001
1708,./node_1708_INORM,0.3327716,0.0000052
754,./node_754_INORM,0.5210109,1.1953827e-11
257,./node_257_INORM,0.4436013,2.5230266e-08
851,./node_851_INORM,0.5765700,8.7306215e-15
173,./node_173_INORM,0.5871288,9.850443e-14
470,./node_470_INORM,0.6048219,8.288024e-18
1140,./node_1140_INORM,0.4447234,4.9266876e-09
1443,./node_1443_INORM,0.4293793,1.373276e-08
1862,./node_1862_INORM,0.2879144,0.0005892
2031,./node_2031_INORM,0.3842480,0.0000004
1299,./node_1299_INORM,0.5247634,8.0380505e-11
1767,./node_1767_INORM,0.1881790,0.0126818
1264,./node_1264_INORM,0.5334237,6.055974e-12
238,./node_238_INORM,0.5302528,8.448444e-12
1859,./node_1859_INORM,0.3562232,0.0000024
805,./node_805_INORM,0.4426485,2.4721201e-09
700,./node_700_INORM,0.5209249,4.775818e-10
203,./node_203_INORM,0.6155515,3.3901324e-17
127,./node_127_INORM,0.4583553,1.0027613e-09
1485,./node_1485_INORM,0.4418070,8.4820195e-09
1478,./node_1478_INORM,0.4379190,1.0951122e-08
