node,name,H2r,rp
324,./node_324_INORM,0.4013286,0.0000008
627,./node_627_INORM,0.4816620,9.661189e-10
922,./node_922_INORM,0.3662677,0.0000006
503,./node_503_INORM,0.3936966,0.0000001
591,./node_591_INORM,0.4517992,2.7689029e-09
73,./node_73_INORM,0.5109917,1.5511046e-09
648,./node_648_INORM,0.4954570,2.2942417e-10
191,./node_191_INORM,0.4594968,4.2072773e-08
492,./node_492_INORM,0.5172861,1.2838948e-11
248,./node_248_INORM,0.5683014,1.6989916e-12
821,./node_821_INORM,0.4469485,1.2043726e-09
227,./node_227_INORM,0.5473918,8.0324505e-11
724,./node_724_INORM,0.4606845,5.836721e-10
400,./node_400_INORM,0.4302493,3.5945435e-08
103,./node_103_INORM,0.4079607,0.0000006
694,./node_694_INORM,0.5120940,1.0977278e-11
397,./node_397_INORM,0.3989209,0.0000005
669,./node_669_INORM,0.4937120,2.5350641e-10
991,./node_991_INORM,0.4419845,7.123373e-10
52,./node_52_INORM,0.4110404,0.0000002
903,./node_903_INORM,0.3768519,0.0000004
305,./node_305_INORM,0.4502984,0.0000001
606,./node_606_INORM,0.4622807,1.4948632e-09
522,./node_522_INORM,0.4539943,1.7389215e-09
206,./node_206_INORM,0.5807390,2.6140881e-12
705,./node_705_INORM,0.4863525,1.2631336e-10
800,./node_800_INORM,0.4273846,3.7298911e-08
421,./node_421_INORM,0.3549406,0.0000034
122,./node_122_INORM,0.4202468,0.0000002
892,./node_892_INORM,0.4396836,8.4617895e-09
269,./node_269_INORM,0.4316937,0.0000002
797,./node_797_INORM,0.4559303,2.0626714e-10
294,./node_294_INORM,0.4661411,1.3397881e-08
709,./node_709_INORM,0.4506721,7.0658815e-09
1023,./node_1023_INORM,0.4570066,2.8079232e-10
442,./node_442_INORM,0.4285219,4.4641152e-08
141,./node_141_INORM,0.4640065,1.4998043e-08
863,./node_863_INORM,0.4434880,4.534616e-09
265,./node_265_INORM,0.4128016,0.0000006
298,./node_298_INORM,0.3358883,0.0000389
766,./node_766_INORM,0.4844156,5.998742e-11
541,./node_541_INORM,0.5080246,1.8627327e-11
366,./node_366_INORM,0.3543826,0.0000071
698,./node_698_INORM,0.4942129,3.5116456e-10
665,./node_665_INORM,0.4944002,9.734603e-11
960,./node_960_INORM,0.4186879,2.7490097e-08
31,./node_31_INORM,0.4242478,0.0000001
309,./node_309_INORM,0.4118765,0.0000007
463,./node_463_INORM,0.4235779,2.6841651e-08
160,./node_160_INORM,0.6214639,9.994889e-15
1002,./node_1002_INORM,0.4504923,3.1252431e-10
244,./node_244_INORM,0.5163652,5.717772e-10
747,./node_747_INORM,0.4600724,1.8551067e-10
842,./node_842_INORM,0.3896951,0.0000003
728,./node_728_INORM,0.4812843,3.3994375e-10
328,./node_328_INORM,0.3999214,0.0000015
10,./node_10_INORM,0.3713377,0.0000020
560,./node_560_INORM,0.4647179,7.4915665e-10
82,./node_82_INORM,0.6003491,8.678587e-13
941,./node_941_INORM,0.3094254,0.0000428
347,./node_347_INORM,0.3631728,0.0000052
644,./node_644_INORM,0.5036129,1.6722938e-11
987,./node_987_INORM,0.3472154,0.0000015
44,./node_44_INORM,0.3804789,0.0000016
682,./node_682_INORM,0.4850606,1.8819806e-10
381,./node_381_INORM,0.4985920,4.725466e-10
534,./node_534_INORM,0.4155888,2.0969907e-08
313,./node_313_INORM,0.3555879,0.0000075
610,./node_610_INORM,0.4484064,6.7790185e-10
915,./node_915_INORM,0.4456801,4.3280845e-10
437,./node_437_INORM,0.3876952,0.0000005
134,./node_134_INORM,0.5225635,2.7969697e-10
816,./node_816_INORM,0.4641736,4.0832667e-10
210,./node_210_INORM,0.5598629,7.2577165e-12
713,./node_713_INORM,0.4665645,4.6321993e-10
781,./node_781_INORM,0.4706567,6.1646185e-11
282,./node_282_INORM,0.5240280,7.95153e-11
884,./node_884_INORM,0.3888412,0.0000001
879,./node_879_INORM,0.3991037,0.0000002
458,./node_458_INORM,0.4843397,2.9903238e-10
515,./node_515_INORM,0.5076262,3.4840611e-11
934,./node_934_INORM,0.4163835,1.0394493e-08
332,./node_332_INORM,0.3219630,0.0000660
631,./node_631_INORM,0.4582829,3.6854961e-10
98,./node_98_INORM,0.4005524,0.0000008
