node,name,H2r,rp
370,./node_370_INORM,0.5269176,4.5211934e-11
673,./node_673_INORM,0.3285568,0.0000073
976,./node_976_INORM,0.2977263,0.0001501
8,./node_8_INORM,0.4619130,7.8459175e-10
557,./node_557_INORM,0.4613744,8.252518e-10
15,./node_15_INORM,0.4605831,7.6225115e-10
87,./node_87_INORM,0.5593861,1.7886464e-13
538,./node_538_INORM,0.5168959,1.091196e-12
919,./node_919_INORM,0.3333094,0.0000253
138,./node_138_INORM,0.5920324,8.586349e-15
888,./node_888_INORM,0.3305015,0.0000193
875,./node_875_INORM,0.3365633,0.0000112
273,./node_273_INORM,0.6125917,7.2243455e-14
770,./node_770_INORM,0.2975958,0.0000621
454,./node_454_INORM,0.4592855,8.437976e-10
157,./node_157_INORM,0.4661794,7.261858e-09
519,./node_519_INORM,0.4110546,2.7918494e-09
938,./node_938_INORM,0.2606544,0.0005793
957,./node_957_INORM,0.3105373,0.0000596
351,./node_351_INORM,0.5113237,4.1125928e-10
652,./node_652_INORM,0.4686105,2.74561e-10
576,./node_576_INORM,0.4421094,9.0178535e-10
34,./node_34_INORM,0.4711102,3.0501719e-10
252,./node_252_INORM,0.5385130,6.6150295e-13
751,./node_751_INORM,0.3148690,0.0000126
854,./node_854_INORM,0.3487072,0.0000100
475,./node_475_INORM,0.4718108,2.0531349e-11
176,./node_176_INORM,0.6306173,1.405556e-15
488,./node_488_INORM,0.4536564,2.3248612e-10
119,./node_119_INORM,0.5443112,1.8073832e-12
858,./node_858_INORM,0.3541528,0.0000099
187,./node_187_INORM,0.4558198,8.3107485e-10
479,./node_479_INORM,0.4462552,5.3516205e-09
484,./node_484_INORM,0.5035457,8.5716985e-12
416,./node_416_INORM,0.5602705,3.9052315e-13
115,./node_115_INORM,0.4325956,7.348643e-09
837,./node_837_INORM,0.3238856,0.0000215
231,./node_231_INORM,0.4638164,1.0275126e-09
732,./node_732_INORM,0.3893615,0.0000004
515,./node_515_INORM,0.4899029,5.4412805e-12
57,./node_57_INORM,0.4002571,1.7077432e-08
332,./node_332_INORM,0.4446177,1.6788545e-09
631,./node_631_INORM,0.4686436,2.1611261e-10
934,./node_934_INORM,0.3018169,0.0001232
38,./node_38_INORM,0.3960097,2.592562e-08
587,./node_587_INORM,0.4264043,4.5947236e-08
437,./node_437_INORM,0.5737706,2.3362722e-14
134,./node_134_INORM,0.4617903,4.418912e-09
210,./node_210_INORM,0.6148555,2.8223376e-15
713,./node_713_INORM,0.3070247,0.0000245
816,./node_816_INORM,0.2711836,0.0004587
884,./node_884_INORM,0.3082099,0.0000964
879,./node_879_INORM,0.3310595,0.0000154
781,./node_781_INORM,0.3387646,0.0000030
282,./node_282_INORM,0.5844104,1.5159436e-12
1007,./node_1007_INORM,0.3082788,0.0001040
458,./node_458_INORM,0.4943429,5.532667e-11
682,./node_682_INORM,0.3403513,0.0000013
381,./node_381_INORM,0.4500425,4.5018079e-09
987,./node_987_INORM,0.2852099,0.0002365
4,./node_4_INORM,0.4110316,2.1127861e-08
19,./node_19_INORM,0.3878514,0.0000001
534,./node_534_INORM,0.4880105,5.286039e-11
76,./node_76_INORM,0.4466074,2.2233464e-09
915,./node_915_INORM,0.3216558,0.0000356
313,./node_313_INORM,0.6232692,5.511508e-15
610,./node_610_INORM,0.4341823,1.4078432e-08
328,./node_328_INORM,0.6468561,4.1279494e-16
560,./node_560_INORM,0.4546769,1.1069367e-09
22,./node_22_INORM,0.4061772,1.988878e-08
347,./node_347_INORM,0.5980626,3.9033922e-14
644,./node_644_INORM,0.4411861,5.5929015e-09
941,./node_941_INORM,0.3041666,0.0000770
463,./node_463_INORM,0.4519438,6.767893e-11
160,./node_160_INORM,0.5875928,5.2310985e-14
842,./node_842_INORM,0.3254880,0.0000277
244,./node_244_INORM,0.6546399,1.1705121e-17
747,./node_747_INORM,0.2979246,0.0000442
728,./node_728_INORM,0.3246879,0.0000061
541,./node_541_INORM,0.4355453,1.2019562e-08
960,./node_960_INORM,0.2728137,0.0003650
698,./node_698_INORM,0.4239543,4.4965966e-08
366,./node_366_INORM,0.4933118,1.3005516e-11
665,./node_665_INORM,0.3274381,0.0000083
309,./node_309_INORM,0.5007749,1.8462812e-09
91,./node_91_INORM,0.5017431,9.37611e-12
709,./node_709_INORM,0.4086872,0.0000002
442,./node_442_INORM,0.4823314,1.8758372e-10
141,./node_141_INORM,0.4837058,2.2545457e-09
265,./node_265_INORM,0.5380638,5.8928225e-10
766,./node_766_INORM,0.2842830,0.0001547
