node,name,H2r,rp
1074,./node_1074_INORM,0.4030804,0.0000001
655,./node_655_INORM,0.4886408,2.9621792e-11
356,./node_356_INORM,0.3971004,0.0000025
1577,./node_1577_INORM,0.2259426,0.0028491
1089,./node_1089_INORM,0.2109912,0.0048689
950,./node_950_INORM,0.2478818,0.0013335
48,./node_48_INORM,0.4347966,2.7226653e-08
1653,./node_1653_INORM,0.4270994,5.160324e-10
1350,./node_1350_INORM,0.4970385,6.3816075e-11
571,./node_571_INORM,0.4717625,2.3790015e-10
1956,./node_1956_INORM,0.1726075,0.0122164
1939,./node_1939_INORM,0.3414017,0.0000110
27,./node_27_INORM,0.3865299,0.0000002
339,./node_339_INORM,0.4073111,0.0000005
1518,./node_1518_INORM,0.3024087,0.0000707
739,./node_739_INORM,0.5092672,2.5067631e-11
1118,./node_1118_INORM,0.2562893,0.0011961
853,./node_853_INORM,0.5338159,1.7004532e-11
756,./node_756_INORM,0.3800482,0.0000049
1489,./node_1489_INORM,0.4806533,1.0299711e-11
1177,./node_1177_INORM,0.2657249,0.0004703
1474,./node_1474_INORM,0.2668004,0.0002975
255,./node_255_INORM,0.4495199,2.5980133e-09
1855,./node_1855_INORM,0.1463775,0.0331486
2006,./node_2006_INORM,0.2988817,0.0000899
1750,./node_1750_INORM,0.3052907,0.0000848
171,./node_171_INORM,0.3749639,0.0000010
472,./node_472_INORM,0.4573327,1.6958985e-08
1253,./node_1253_INORM,0.2755535,0.0010368
1918,./node_1918_INORM,0.2610430,0.0002223
318,./node_318_INORM,0.3859222,0.0000008
1539,./node_1539_INORM,0.2454546,0.0008594
971,./node_971_INORM,0.5106350,2.1397049e-11
69,./node_69_INORM,0.4414498,3.8694017e-09
94,./node_94_INORM,0.4256471,1.7853221e-08
1055,./node_1055_INORM,0.2088574,0.0057504
674,./node_674_INORM,0.5088082,2.0601288e-10
689,./node_689_INORM,0.4937644,5.709494e-11
377,./node_377_INORM,0.5767489,3.0140155e-13
1556,./node_1556_INORM,0.2303665,0.0017085
1977,./node_1977_INORM,0.2911146,0.0001613
1672,./node_1672_INORM,0.1951442,0.0079576
1371,./node_1371_INORM,0.2683973,0.0015046
550,./node_550_INORM,0.4936737,3.053304e-11
777,./node_777_INORM,0.5860856,3.2667741e-15
289,./node_289_INORM,0.4715396,9.328964e-10
1156,./node_1156_INORM,0.4693698,8.1641085e-09
1455,./node_1455_INORM,0.3845370,0.0000009
274,./node_274_INORM,0.4668811,3.7675439e-10
872,./node_872_INORM,0.5147907,4.7232048e-11
1771,./node_1771_INORM,0.3661771,0.0000001
150,./node_150_INORM,0.4821990,6.819399e-10
453,./node_453_INORM,0.4074530,0.0000001
1272,./node_1272_INORM,0.3607646,0.0000005
1874,./node_1874_INORM,0.3626008,0.0000034
1889,./node_1889_INORM,0.2934058,0.0000856
2027,./node_2027_INORM,0.1578569,0.0231332
2048,./node_2048_INORM,0.2408447,0.0012743
718,./node_718_INORM,0.4809332,3.254665e-09
1139,./node_1139_INORM,0.4916615,2.1235883e-09
285,./node_285_INORM,0.3603782,0.0000060
786,./node_786_INORM,0.5884232,5.19244e-16
278,./node_278_INORM,0.4652444,8.8022815e-11
1459,./node_1459_INORM,0.5125720,5.622116e-09
883,./node_883_INORM,0.4969071,1.5633392e-11
1283,./node_1283_INORM,0.3891571,0.0000004
1780,./node_1780_INORM,0.1603348,0.0214736
1878,./node_1878_INORM,0.1524418,0.0289692
1885,./node_1885_INORM,0.1796688,0.0116557
1817,./node_1817_INORM,0.1602489,0.0217731
2044,./node_2044_INORM,0.2341874,0.0015726
133,./node_133_INORM,0.5697504,1.3447625e-14
1712,./node_1712_INORM,0.4067233,0.0000002
1211,./node_1211_INORM,0.4702379,4.1103064e-09
430,./node_430_INORM,0.4661909,9.923828e-10
811,./node_811_INORM,0.5154230,5.644415e-11
1135,./node_1135_INORM,0.2783011,0.0003336
714,./node_714_INORM,0.5530660,5.023547e-13
217,./node_217_INORM,0.3831974,0.0000011
1436,./node_1436_INORM,0.3532821,0.0000050
1611,./node_1611_INORM,0.4420515,2.3907722e-10
533,./node_533_INORM,0.4322275,6.705195e-09
1312,./node_1312_INORM,0.4943375,3.7013202e-11
1914,./node_1914_INORM,0.2037789,0.0047548
617,./node_617_INORM,0.4806397,7.623918e-11
1036,./node_1036_INORM,0.3598992,0.0000359
1535,./node_1535_INORM,0.4128649,3.955834e-08
314,./node_314_INORM,0.4611991,1.1136294e-10
912,./node_912_INORM,0.5754903,7.1350375e-15
65,./node_65_INORM,0.5638526,2.3346595e-14
980,./node_980_INORM,0.4947911,2.0654711e-10
98,./node_98_INORM,0.5462947,1.0551268e-13
678,./node_678_INORM,0.5507015,7.274898e-14
386,./node_386_INORM,0.4534152,1.3087341e-10
1059,./node_1059_INORM,0.2022154,0.0064554
685,./node_685_INORM,0.4938611,2.7760155e-11
1986,./node_1986_INORM,0.3285926,0.0000361
1380,./node_1380_INORM,0.3949995,0.0000006
1683,./node_1683_INORM,0.3900056,0.0000002
112,./node_112_INORM,0.3474144,0.0000035
1733,./node_1733_INORM,0.1691053,0.0167667
1230,./node_1230_INORM,0.4930074,9.320925e-10
411,./node_411_INORM,0.5060060,2.7901359e-11
1836,./node_1836_INORM,0.1308548,0.0497562
1114,./node_1114_INORM,0.2439373,0.0014525
735,./node_735_INORM,0.5502970,4.7236557e-13
236,./node_236_INORM,0.3847033,0.0000004
1417,./node_1417_INORM,0.3662656,0.0000007
830,./node_830_INORM,0.3996558,0.0000017
1485,./node_1485_INORM,0.4752943,0.0000001
259,./node_259_INORM,0.4426348,6.68883e-09
1478,./node_1478_INORM,0.5055869,3.2680878e-09
1186,./node_1186_INORM,0.5212299,1.9240275e-09
1859,./node_1859_INORM,0.3556612,0.0000027
483,./node_483_INORM,0.4632289,1.4955819e-09
180,./node_180_INORM,0.4307342,2.3645606e-08
659,./node_659_INORM,0.4368075,0.0000002
1586,./node_1586_INORM,0.2746311,0.0002012
1078,./node_1078_INORM,0.2060047,0.0053270
1085,./node_1085_INORM,0.2144884,0.0046682
44,./node_44_INORM,0.4379620,3.3672736e-09
580,./node_580_INORM,0.5620462,1.9558647e-13
1935,./node_1935_INORM,0.2322792,0.0025532
1630,./node_1630_INORM,0.3666929,0.0000013
512,./node_512_INORM,0.4312282,1.2682316e-08
1333,./node_1333_INORM,0.3203402,0.0000127
933,./node_933_INORM,0.4943762,1.955069e-10
636,./node_636_INORM,0.4591293,5.5488665e-11
1017,./node_1017_INORM,0.4910530,8.2045735e-10
1514,./node_1514_INORM,0.3975926,0.0000002
335,./node_335_INORM,0.4406385,1.3101497e-08
10,./node_10_INORM,0.4721388,1.1907646e-10
908,./node_908_INORM,0.5670875,9.719018e-14
529,./node_529_INORM,0.3871534,0.0000083
1308,./node_1308_INORM,0.4004958,0.0000008
1664,./node_1664_INORM,0.2146015,0.0043372
546,./node_546_INORM,0.5563552,1.1897672e-12
1367,./node_1367_INORM,0.3201030,0.0000147
1699,./node_1699_INORM,0.4121353,0.0000001
1961,./node_1961_INORM,0.1399924,0.0328989
662,./node_662_INORM,0.4556224,0.0000001
1043,./node_1043_INORM,0.2013281,0.0064557
1540,./node_1540_INORM,0.2445044,0.0012501
361,./node_361_INORM,0.4869594,1.2530033e-11
967,./node_967_INORM,0.5556692,1.062621e-13
82,./node_82_INORM,0.4465075,2.6871009e-09
1862,./node_1862_INORM,0.1677797,0.0171805
2031,./node_2031_INORM,0.2179897,0.0035742
146,./node_146_INORM,0.5075523,9.167281e-12
1299,./node_1299_INORM,0.4581898,2.5692116e-08
1767,./node_1767_INORM,0.1634945,0.0198017
1264,./node_1264_INORM,0.3951687,0.0000014
445,./node_445_INORM,0.4431185,7.418551e-09
864,./node_864_INORM,0.3423092,0.0000313
899,./node_899_INORM,0.5278543,2.1828239e-11
1140,./node_1140_INORM,0.2635304,0.0006555
761,./node_761_INORM,0.5401201,6.150762e-13
262,./node_262_INORM,0.5392524,4.1648379e-13
1443,./node_1443_INORM,0.4890572,1.1473014e-08
129,./node_129_INORM,0.5791928,4.2877022e-15
1708,./node_1708_INORM,0.4215951,2.2683271e-08
1940,./node_1940_INORM,0.2490280,0.0015183
1645,./node_1645_INORM,0.3778823,0.0000006
567,./node_567_INORM,0.3824870,0.0000097
1346,./node_1346_INORM,0.4753465,4.9876625e-09
946,./node_946_INORM,0.4655244,2.2933954e-09
8,./node_8_INORM,0.4456216,1.5839495e-09
643,./node_643_INORM,0.5151625,1.8481745e-11
1062,./node_1062_INORM,0.2831516,0.0006389
1561,./node_1561_INORM,0.3669954,0.0000017
340,./node_340_INORM,0.3774156,0.0000024
31,./node_31_INORM,0.3818144,0.0000003
929,./node_929_INORM,0.5290388,2.2019375e-11
508,./node_508_INORM,0.5220871,4.267501e-12
1329,./node_1329_INORM,0.3198744,0.0000154
108,./node_108_INORM,0.4264026,2.8903903e-08
1729,./node_1729_INORM,0.1722610,0.0160247
167,./node_167_INORM,0.5717619,1.0290629e-14
499,./node_499_INORM,0.5305852,2.262717e-12
1746,./node_1746_INORM,0.1704437,0.0158265
1245,./node_1245_INORM,0.5095045,4.0486461e-08
464,./node_464_INORM,0.4709096,3.0443238e-11
1843,./node_1843_INORM,0.2361316,0.0011483
2010,./node_2010_INORM,0.2436832,0.0014575
1161,./node_1161_INORM,0.4389812,0.0000001
740,./node_740_INORM,0.5422945,2.2614515e-13
243,./node_243_INORM,0.4735683,1.249458e-10
1462,./node_1462_INORM,0.3440003,0.0000115
845,./node_845_INORM,0.5920066,5.344756e-15
826,./node_826_INORM,0.3669132,0.0000098
723,./node_723_INORM,0.5762914,3.5771271e-15
1102,./node_1102_INORM,0.4960756,2.8045627e-09
1401,./node_1401_INORM,0.3683819,0.0000004
220,./node_220_INORM,0.4613033,3.3063806e-09
1820,./node_1820_INORM,0.1888104,0.0100312
1725,./node_1725_INORM,0.1600098,0.0227899
104,./node_104_INORM,0.3452505,0.0000069
407,./node_407_INORM,0.5600377,1.7339514e-12
1226,./node_1226_INORM,0.5207238,1.3101645e-08
495,./node_495_INORM,0.5528041,3.7053486e-12
196,./node_196_INORM,0.4022910,0.0000001
468,./node_468_INORM,0.3906922,0.0000003
1249,./node_1249_INORM,0.3197961,0.0000434
1493,./node_1493_INORM,0.3777873,0.0000172
1190,./node_1190_INORM,0.5092456,7.116186e-11
849,./node_849_INORM,0.5810403,5.686492e-13
596,./node_596_INORM,0.5442827,1.1939483e-13
1649,./node_1649_INORM,0.2303734,0.0021905
52,./node_52_INORM,0.5202638,2.7923786e-12
