node,name,H2r,rp
238,./node_238_INORM,0.4395740,2.5864449e-09
173,./node_173_INORM,0.4360808,2.9599774e-09
470,./node_470_INORM,0.5116322,1.3827744e-12
754,./node_754_INORM,0.5019531,4.2452608e-11
257,./node_257_INORM,0.4007704,3.9903005e-08
851,./node_851_INORM,0.3389740,0.0000057
573,./node_573_INORM,0.5197424,1.6583287e-12
952,./node_952_INORM,0.4558844,2.3685032e-09
657,./node_657_INORM,0.5112304,9.423579e-14
354,./node_354_INORM,0.3663526,0.0000003
638,./node_638_INORM,0.4375996,5.456072e-10
34,./node_34_INORM,0.3571299,0.0000035
152,./node_152_INORM,0.5043797,5.910519e-12
451,./node_451_INORM,0.4458981,1.9027608e-08
870,./node_870_INORM,0.4690991,7.6363955e-11
1016,./node_1016_INORM,0.3638757,0.0000044
775,./node_775_INORM,0.4229667,0.0000001
276,./node_276_INORM,0.4851314,7.0585315e-11
788,./node_788_INORM,0.5078816,2.7173114e-12
219,./node_219_INORM,0.4295705,1.6508209e-09
619,./node_619_INORM,0.4102882,5.446543e-09
15,./node_15_INORM,0.4003366,0.0000001
552,./node_552_INORM,0.5431208,2.7063085e-14
87,./node_87_INORM,0.3655064,0.0000009
388,./node_388_INORM,0.4313205,8.8632975e-09
676,./node_676_INORM,0.5301729,1.775326e-13
375,./node_375_INORM,0.4743633,3.314172e-11
973,./node_973_INORM,0.2459355,0.0011715
910,./node_910_INORM,0.3700541,0.0000012
615,./node_615_INORM,0.5305307,5.10064e-12
316,./node_316_INORM,0.3795175,0.0000001
19,./node_19_INORM,0.2978606,0.0002042
531,./node_531_INORM,0.5047904,1.6650064e-11
76,./node_76_INORM,0.4214255,3.9733189e-09
384,./node_384_INORM,0.4754672,7.3916625e-11
379,./node_379_INORM,0.3363756,0.0000034
687,./node_687_INORM,0.5394386,5.1772145e-12
982,./node_982_INORM,0.4471495,2.9877607e-09
881,./node_881_INORM,0.3800732,0.0000005
287,./node_287_INORM,0.4918402,4.5367203e-11
779,./node_779_INORM,0.4136292,6.5740925e-09
784,./node_784_INORM,0.4674817,9.8950635e-10
716,./node_716_INORM,0.5304321,5.9493355e-12
215,./node_215_INORM,0.5173133,1.9514283e-12
813,./node_813_INORM,0.3890232,0.0000004
131,./node_131_INORM,0.4009268,1.1811587e-08
432,./node_432_INORM,0.4439779,1.1083835e-08
57,./node_57_INORM,0.3469979,0.0000117
582,./node_582_INORM,0.5351166,4.3296112e-14
358,./node_358_INORM,0.4001069,0.0000001
634,./node_634_INORM,0.3778694,0.0000002
337,./node_337_INORM,0.3357413,0.0000031
931,./node_931_INORM,0.2582487,0.0007822
510,./node_510_INORM,0.5085143,4.6070187e-13
38,./node_38_INORM,0.4038549,0.0000001
832,./node_832_INORM,0.3506488,0.0000024
737,./node_737_INORM,0.3854145,0.0000001
234,./node_234_INORM,0.4311184,1.754499e-09
110,./node_110_INORM,0.4089776,5.154945e-09
413,./node_413_INORM,0.5366653,3.769814e-13
481,./node_481_INORM,0.5328377,1.6806292e-13
182,./node_182_INORM,0.3691018,0.0000002
758,./node_758_INORM,0.4375563,4.9944321e-10
763,./node_763_INORM,0.4544264,9.696473e-09
260,./node_260_INORM,0.5234961,1.3264103e-12
866,./node_866_INORM,0.3784773,0.0000013
1000,./node_1000_INORM,0.4099833,0.0000001
144,./node_144_INORM,0.5083723,9.0009915e-12
447,./node_447_INORM,0.5429851,1.0970183e-13
428,./node_428_INORM,0.4594815,7.0586825e-10
809,./node_809_INORM,0.3745450,0.0000012
965,./node_965_INORM,0.4083717,0.0000001
998,./node_998_INORM,0.3790051,0.0000012
660,./node_660_INORM,0.3813130,0.0000002
363,./node_363_INORM,0.4809241,4.6968098e-11
91,./node_91_INORM,0.3123549,0.0000242
544,./node_544_INORM,0.5208339,6.611963e-11
409,./node_409_INORM,0.4170692,0.0000001
828,./node_828_INORM,0.4696331,5.701585e-11
847,./node_847_INORM,0.4765778,5.541473e-10
1021,./node_1021_INORM,0.3502229,0.0000092
742,./node_742_INORM,0.4863779,5.9634185e-10
241,./node_241_INORM,0.4559929,2.4355143e-10
165,./node_165_INORM,0.3760714,0.0000001
466,./node_466_INORM,0.4854638,3.3562022e-12
198,./node_198_INORM,0.3736994,0.0000002
641,./node_641_INORM,0.5362667,9.360133e-13
342,./node_342_INORM,0.4860490,4.5356346e-11
944,./node_944_INORM,0.4227117,2.4270099e-08
598,./node_598_INORM,0.4135818,6.070304e-09
565,./node_565_INORM,0.5146550,5.757271e-12
22,./node_22_INORM,0.4100426,0.0000001
948,./node_948_INORM,0.3780705,0.0000007
594,./node_594_INORM,0.5268436,3.7256261e-12
569,./node_569_INORM,0.3659443,0.0000004
41,./node_41_INORM,0.3468119,0.0000059
506,./node_506_INORM,0.4998636,4.5261671e-11
927,./node_927_INORM,0.4315357,1.7259014e-08
622,./node_622_INORM,0.5600853,8.056666e-12
321,./node_321_INORM,0.3819042,0.0000003
106,./node_106_INORM,0.3205374,0.0000137
405,./node_405_INORM,0.3431884,0.0000021
721,./node_721_INORM,0.4272801,1.1174304e-09
222,./node_222_INORM,0.4027304,3.009154e-08
824,./node_824_INORM,0.4875294,1.2263245e-10
7,./node_7_INORM,0.3390262,0.0000138
497,./node_497_INORM,0.3584427,0.0000007
169,./node_169_INORM,0.4644425,1.312618e-10
194,./node_194_INORM,0.4074779,2.0511039e-08
527,./node_527_INORM,0.5345102,7.324314e-14
603,./node_603_INORM,0.5355968,3.5935936e-13
300,./node_300_INORM,0.4320487,5.8264195e-09
906,./node_906_INORM,0.4709216,6.7965605e-11
969,./node_969_INORM,0.3708563,0.0000020
994,./node_994_INORM,0.4313607,1.59412e-08
392,./node_392_INORM,0.4700485,5.8935285e-11
691,./node_691_INORM,0.5363351,1.4383741e-14
60,./node_60_INORM,0.3135430,0.0000501
548,./node_548_INORM,0.5131953,2.9828213e-12
291,./node_291_INORM,0.4119518,1.2938033e-08
792,./node_792_INORM,0.3771440,0.0000008
897,./node_897_INORM,0.4424062,1.5287041e-09
148,./node_148_INORM,0.4205450,1.2200066e-08
127,./node_127_INORM,0.3557052,0.0000009
424,./node_424_INORM,0.5304871,4.8668002e-13
805,./node_805_INORM,0.4913980,2.2110214e-11
700,./node_700_INORM,0.4824706,1.4254997e-12
203,./node_203_INORM,0.5139068,2.1514173e-12
355,./node_355_INORM,0.4022447,1.7202328e-08
656,./node_656_INORM,0.5388250,3.2284464e-10
953,./node_953_INORM,0.3669459,0.0000014
