node,name,H2r,rp
40,./node_40_INORM,0.4839292,2.2602638e-09
879,./node_879_INORM,0.2320547,0.0028006
884,./node_884_INORM,0.4642162,0.0000001
282,./node_282_INORM,0.5057419,2.4091318e-11
781,./node_781_INORM,0.3223633,0.0000420
458,./node_458_INORM,0.4290651,1.0333205e-08
134,./node_134_INORM,0.4688641,4.3386548e-10
437,./node_437_INORM,0.5414166,3.4972691e-10
713,./node_713_INORM,0.3595359,0.0000052
210,./node_210_INORM,0.6161446,2.3063554e-16
816,./node_816_INORM,0.4056170,0.0000017
534,./node_534_INORM,0.4236567,0.0000002
915,./node_915_INORM,0.2403692,0.0020043
610,./node_610_INORM,0.2878503,0.0000620
313,./node_313_INORM,0.7591454,3.3995007e-21
381,./node_381_INORM,0.4135219,1.5608769e-08
682,./node_682_INORM,0.3582960,0.0000081
987,./node_987_INORM,0.2988240,0.0001917
115,./node_115_INORM,0.5121034,6.774331e-12
416,./node_416_INORM,0.6419626,2.8743663e-13
837,./node_837_INORM,0.1926858,0.0100470
732,./node_732_INORM,0.2560356,0.0006756
231,./node_231_INORM,0.4698492,1.1062983e-09
858,./node_858_INORM,0.4349154,0.0000004
61,./node_61_INORM,0.5858114,1.4257684e-13
484,./node_484_INORM,0.5078688,3.104245e-09
1012,./node_1012_INORM,0.3403365,0.0000509
187,./node_187_INORM,0.5125276,5.7681625e-11
479,./node_479_INORM,0.3901353,0.0000001
587,./node_587_INORM,0.2604448,0.0002214
515,./node_515_INORM,0.3802518,0.0000013
631,./node_631_INORM,0.3285871,0.0000517
332,./node_332_INORM,0.4101802,4.0634988e-08
934,./node_934_INORM,0.4760557,2.5527794e-08
957,./node_957_INORM,0.2579135,0.0009300
652,./node_652_INORM,0.3286476,0.0000379
351,./node_351_INORM,0.4276653,3.0175419e-09
576,./node_576_INORM,0.3494352,0.0000077
519,./node_519_INORM,0.4407199,0.0000001
938,./node_938_INORM,0.1672917,0.0260995
119,./node_119_INORM,0.6622431,1.2898032e-18
751,./node_751_INORM,0.3890327,0.0000011
252,./node_252_INORM,0.6760973,1.1936263e-16
854,./node_854_INORM,0.4126879,0.0000009
90,./node_90_INORM,0.5789981,1.1288124e-14
176,./node_176_INORM,0.7096049,1.3916099e-20
488,./node_488_INORM,0.5496183,9.5125535e-11
475,./node_475_INORM,0.3546821,0.0000038
538,./node_538_INORM,0.4835370,0.0000001
919,./node_919_INORM,0.2764522,0.0005462
673,./node_673_INORM,0.3596804,0.0000056
370,./node_370_INORM,0.4572185,5.848407e-10
976,./node_976_INORM,0.2491042,0.0014284
557,./node_557_INORM,0.3539787,0.0000015
875,./node_875_INORM,0.2593623,0.0009368
888,./node_888_INORM,0.2339664,0.0025427
770,./node_770_INORM,0.4258783,0.0000004
273,./node_273_INORM,0.5538345,2.9949401e-13
157,./node_157_INORM,0.4249223,1.3027466e-08
454,./node_454_INORM,0.3790899,0.0000003
138,./node_138_INORM,0.6792779,1.2334416e-19
23,./node_23_INORM,0.6298504,4.9594917e-17
724,./node_724_INORM,0.1853904,0.0083239
